player_name,positional_group,opponent,game_type,minutes,dis,sd,ts,mpm,hsr,z_score_distance_metres,z_score_sprint_distance_m,z_score_top_speed_m_s,z_score_distance_per_min_m_min,z_score_HSR,STEN_distance_metres,STEN_sprint_distance_m,STEN_top_speed_m_s,STEN_distance_per_min_m_min,STEN_HSR,shirt_number,try,try_x_p,linebreak,linebreak_x_p,defender_beaten,db_x_p,x10m_run,x10m_x_p,carries,total_carries,gainline_success,total_gainline_sucess,carry_error,carry_error_x_p,carry_penalty,carry_pen_x_p,interception,interception_x_p,jackel,jackel_x_p,charge_down,cd_x_p,tackles,tackle_x_p,dominant_tackles,dt_x_p,missed_tackles,mt_x_p,total_tackle_attempts,defending_penalty_con,def_pen_con_x_p,yellow_card,yc_x_p,red_card,rc_x_p,high_ball_catch,hbc_x_p,try_assist,ta_x_p,pass_error,pe_x_p,kicks,kick_retained,kr_x_p,kick_error,ke_x_p,lo_steal,lo_steal_x_p,lo_catch,lo_catch_x_p,lo_throw_won,lotw_x_p,lo_throw_lost,lotl_x_p,lo_pen_conceded,lopc_x_p,def_scrum_pen_won,dspw_x_p,atk_scrum_pen_won,aspw_x_p,def_scrum_pen_con,dspc_x_p,atk_scrum_pen_con,aspc_x_p,gls_percent,tackle_percent,dominant_tackle_percent,Carrying_xP,Defending_xP,Catching_xP,Passing_xP,Kicking_xP,Lineout_xP,Scrum_xP,Attacking_xP,Overall_xP
Ath1,Front Row,Blaydon,Pre-Season,55,6318,133,6.88,45,1119,0.73137742,-0.228747338,0.804853117,0.890150756,0.281702051,7,5,7,7,6,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0.6,0,0,5,0.5,1,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,1,1.3,2,1,0,0,0,0,0,100,20,0,2.1,0,0,0,1,2.3,0,5.4
Ath18,Front Row,Blaydon,Pre-Season,55,6064,154,7.56,41,1015,0.665985345,-0.147707705,0.977615754,0.727540539,0.174926459,7,5,7,7,6,2,0,0,0,0,0,0,0,0,2,2,0,0,1,-0.4,0,0,0,0,0,0,0,0,2,0.2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1,-0.6,0,0,0,0,1,0.5,2,-1,0,0,0,100,100,-0.4,2.2,0,0,0,-0.1,-0.5,-0.4,1.2
Ath19,Second Row,Blaydon,Pre-Season,55,7326,600,7.55,45,1990,0.990886126,1.573419736,0.975075127,0.890150756,1.175947636,7,9,7,7,8,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,1,0.5,1,-0.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,25,0,1.2,0,0,0,0.1,0,0,1.3
Ath5,Second Row,Blaydon,Pre-Season,55,6087,128,6.63,38,1148,0.671906675,-0.248042489,0.741337441,0.605582877,0.311476015,7,5,7,7,6,5,0,0,0,0,1,0.1,0,0,4,7,3,3,0,0,0,0,0,0,0,0,0,0,2,0.2,1,0.5,1,-0.2,3,1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714286,66.66666667,50,0.1,2,0,0,0,0,0,0.1,2.1
Ath6,Back Row,Blaydon,Pre-Season,74,6975,262,8.38,47,1367,0.900521487,0.26906755,1.185947169,0.971455865,0.536320771,7,6,8,7,7,6,1,1.4,1,0.3,1,0.1,3,0.3,3,7,3,4,0,0,0,0,0,0,0,0,0,0,6,0.6,6,3,1,-0.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14285714,85.71428571,100,2.1,6.4,0,0,0,0.8,0,2.1,9.3
Ath7,Back Row,Blaydon,Pre-Season,55,6897,499,6.96,51,1781,0.880440456,1.183657692,0.825178133,1.134066082,0.961369763,7,8,7,8,7,7,0,0,0,0,0,0,0,0,5,7,2,2,0,0,0,0,0,0,0,0,0,0,7,0.7,3,1.5,1,-0.2,8,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,87.5,42.85714286,0,3.5,0.2,0,0,0,0,0.2,3.7
Ath29,Back Row,Blaydon,Pre-Season,55,7083,176,7.18,46,1751,0.928325991,-0.062809042,0.881071927,0.930803311,0.930569111,7,5,7,7,7,8,0,0,0,0,2,0.2,0,0,10,14,4,4,0,0,1,-0.5,0,0,0,0,0,0,3,0.3,1,0.5,1,-0.2,4,1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,75,33.33333333,-0.3,2.1,0,0,0,0.3,0,-0.3,2.1
Ath9,Half Back,Blaydon,Pre-Season,55,5367,243,7.64,53,1809,0.486543313,0.195745977,0.99794077,1.21537119,0.990117038,6,6,7,8,7,9,0,0,0,0,1,0.1,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0.1,0,0,0,-0.1,0,0,0,0
Ath10,Half Back,Blaydon,Pre-Season,55,6071,352,7.46,51,1436,0.667787489,0.616380262,0.952209483,1.134066082,0.60716227,7,7,7,8,7,10,0,0,0,0,1,0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,1,-0.2,2,0,0,0,0,0,0,0,0,2,0.6,3,-1.2,5,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0.1,-0.1,0,-0.6,0.8,0,0,0.3,0.2
Ath14,Back Three,Blaydon,Pre-Season,45,8615,854,8.76,46,2585,1.322738032,2.553613391,1.282490995,0.930803311,1.786827225,8,11,8,7,9,11,0,0,0,0,1,0.1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,100,0,0.1,0.2,0.2,0,0,0,0,0.3,0.5
Ath12,Centre,Blaydon,Pre-Season,35,6599,744,8.31,59,2190,0.803720621,2.129120076,1.16816278,1.459286515,1.381285313,7,10,8,8,8,12,0,0,1,0.3,1,0.1,1,0.1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,33.33333333,0.5,1.3,0,0,0,0,0,0.5,1.8
Ath13,Centre,Blaydon,Pre-Season,65,11370,635,7.98,52,2818,2.032010339,1.708485791,1.084322088,1.174718636,2.026045619,10,9,8,8,10,13,0,0,0,0,2,0.2,0,0,1,4,3,3,1,-0.4,0,0,0,0,0,0,0,0,5,0.5,1,0.5,0,0,5,1,-0.4,0,0,0,0,1,0.2,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,100,20,-0.2,2.5,0.2,0.3,0,0,0,0.3,2.8
Ath11,Back Three,Blaydon,Pre-Season,45,10993,392,8.63,47,2358,1.934952023,0.770741468,1.249462844,0.971455865,1.553768962,9,7,8,7,9,14,1,1.4,1,0.3,1,0.1,3,0.3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,2.1,0.2,0.2,0,0,0,0,2.3,2.5
Ath15,Back Three,Blaydon,Pre-Season,55,5072,404,7.73,49,1127,0.410595825,0.817049829,1.020806413,1.052760973,0.289915558,6,7,8,8,6,15,0,0,0,0,2,0.2,0,0,7,11,4,4,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,1,-0.2,3,1,-0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36363636,66.66666667,0,0.2,1,0.2,0,0,0,0,0.4,1.4
Ath3,Front Row,Blaydon,Pre-Season,8,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8,0,2.8
Ath16,Front Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,1,-0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,50,75,0,0,0.1,0,0,0,0.6,0,0,0.7
Ath4,Second Row,Blaydon,Pre-Season,50,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,4,0,0,1,0.3,4,0.4,2,0.2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0.3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,100,66.66666667,0.9,2.3,0,0,0,0,0,0.9,3.2
Ath31,Back Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0.5,2,-0.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,33.33333333,0,0.9,0,0,0,0,0,0,0.9
Ath22,Half Back,Blaydon,Pre-Season,60,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,9,1,1.4,0,0,1,0.1,1,0.1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1.6,0.2,0,0,-0.1,0,0,1.5,1.7
Ath24,Back Three,Blaydon,Pre-Season,40,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,11,1,1.4,1,0.3,1,0.1,2,0.2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,1,-0.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,66.66666667,0,2,0,0,0,0,0,0,2,2
Ath23,Centre,Blaydon,Pre-Season,60,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,13,0,0,0,0,5,0.5,0,0,2,5,3,3,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,1,-0.2,6,1,-0.4,0,0,0,0,0,0,1,0.3,1,-0.4,1,0,0,1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,83.33333333,0,0.5,1.3,0,-0.1,-0.1,0,0,0.3,1.6
Ath25,Back Three,Blaydon,Pre-Season,60,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,14,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0.2,0.2,0,0,0,0,0.2,0.4
Ath28,Front Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,1,-0.6,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1.2,0,0,0,-0.3,0,0,0.9
Ath17,Front Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,3,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0.5,0,0,3,1,-0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,-1,0,0,33.33333333,100,33.33333333,0,2.3,0.2,0,0,0,0,0.2,2.5
Ath26,Second Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,5,0,0,0,0,1,0.1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0.1,0,0,0,0,0.1,0,0.1,0.2
Ath30,Back Row,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,1,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,1.4,0,0,0,0,0,0,1.4
Ath33,Centre,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,1,0.5,2,-0.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,33.33333333,0,0.9,0,0,0,0,0,0,0.9
Ath32,Back Three,Blaydon,Pre-Season,30,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.6,0,0,3,0.3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66.66666667,0,2.9,0,0,0,0,0,0,2.9
Ath34,Front Row,Blaydon,Pre-Season,17,0,0,0,0,0,-0.895186076,-0.741998347,-0.943098269,-0.939214184,-0.867162253,4,4,4,4,4,3,0,0,0,0,1,0.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1
