"","Team","Opponent","Half","Direction","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","Thrower_ID","Receiver_ID","Lineout_Numbers","Lineout_Destination","Lineout_Outcome","Lineout_Secondary_Outcome","Contested","Distance","m_oppo_line","Distance_scaled","Minute_scaled","m_oppo_line_scaled","predit_success"
"1","Billingham","Chester","First Half","Left to Right",00:03:18,"Lineout",58.63,70.27,58.63,64.75,"Ath2","Ath7",7,"Front","1","Down and Drive","Direct",5.52,41.37,-1.08525379175085,-1.41220772925023,-0.20120206586242,0.61
"2","Billingham","Chester","First Half","Left to Right",00:06:43,"Lineout",5.55,70.27,5.55,64.88,"Ath2","Ath8",7,"Front","1","Down and Drive","None",5.39,94.45,-1.12883133854499,-1.28060680427411,1.77849959464517,0.86
"3","Billingham","Chester","First Half","Left to Right",00:11:54,"Lineout",64.23,70.14,64.79,64.49,"Ath2","Ath8",7,"Front","0","Off Top","Direct",5.68,35.77,-1.0316198880042,-1.08095857174936,-0.41006282883986,0.74
"4","Billingham","Chester","First Half","Left to Right",00:12:50,"Lineout",63.53,70.27,64.23,61.07,"Ath2","Ath8",7,"Middle","0",NA,"Direct",9.23,36.47,0.158382351374473,-1.04500905078027,-0.38395523346768,0.58
"5","Billingham","Chester","First Half","Left to Right",00:21:48,"Lineout",61.43,70.14,61.29,65.15,"Ath2","Ath8",7,"Front","1","Down and Drive","Direct",4.99,38.57,-1.2629160979116,-0.69963686718439,-0.30563244735114,0.78
"6","Billingham","Chester","First Half","Left to Right",00:23:22,"Lineout",62.41,0.3,62.27,5.56,"Ath2","Ath7",7,"Front","1","Down and Drive","Direct",5.26,37.59,-1.17240888533914,-0.63929302841485,-0.342183080872192,0.69
"7","Billingham","Harrogate","First Half","Left to Right",00:01:04,"Lineout",56.67,0,57.09,10.17,"Ath2","Ath8",7,"Middle","1","Off Top","Direct",10.18,43.33,0.476833654870175,-1.49822979728341,-0.128100798820316,0.4
"8","Billingham","Harrogate","First Half","Left to Right",00:11:14,"Lineout",40,0,39.72,7.8,"Ath2","Ath6",7,"Front","1","Off Top","Indirect",7.81,60,-0.317618544376996,-1.10663680101299,0.493632936685741,0.6
"9","Billingham","Harrogate","First Half","Left to Right",00:17:25,"Lineout",34.96,70,34.54,55.41,"Ath2","Ath7",5,"Back","1","Off Top","None",14.6,65.04,1.95847024587123,-0.868471224592784,0.681607623365436,0.37
"10","Billingham","Harrogate","First Half","Left to Right",00:22:28,"Lineout",35.66,70,35.38,65.01,"Ath2","Ath6",5,"Front","0","Lost","Direct",5,64.34,-1.25956397892744,-0.673958637920756,0.655500027993257,0.51
"11","Billingham","Harrogate","First Half","Left to Right",00:25:24,"Lineout",72.77,70,72.77,56.6,"Ath2","Ath29",7,"Back","0","Lost","None",13.4,27.23,1.55621596777139,-0.560974429160766,-0.728575492380455,0.44
"12","Billingham","Harrogate","First Half","Left to Right",00:27:17,"Lineout",89.86,70,89.86,62.65,"Ath2","Ath8",7,"Middle","1","Loose Ball","None",7.35,10.14,-0.471816017648599,-0.488433431491,-1.36597378510982,0.84
"13","Billingham","Harrogate","First Half","Left to Right",00:34:22,"Lineout",94.62,70,94.62,65.01,"Ath2","Ath8",7,"Front","1","Down and Drive","Direct",4.99,5.38,-1.2629160979116,-0.215602245564888,-1.54350543364064,0.77
"14","Billingham","Harrogate","First Half","Left to Right",00:37:19,"Lineout",23.61,0,23.75,5.56,"Ath2","Ath8",7,"Front","1","Down and Drive","Indirect",5.56,76.39,-1.07184531581418,-0.101976081073308,1.10492363404293,0.88
"15","Billingham","Tynedale","Second Half","Left to Right",00:48:00,"Lineout",62.55,0,62.83,14.77,"Ath2","Ath8",7,"Back","1","Catch and Run","Indirect",14.77,37.45,2.01545626860204,0.309517542876428,-0.347404599946628,0.39
"16","Billingham","Tynedale","Second Half","Left to Right",00:49:57,"Lineout",84.26,70,84.68,64.36,"Ath2","Ath6",7,"Front","0","Catch and Run","Direct",5.66,15.74,-1.03832412597253,0.384626363472558,-1.15711302213238,0.38
"17","Billingham","Tynedale","Second Half","Left to Right",01:19:46,"Lineout",76.97,70,76.97,64.75,"Ath16","Ath6",7,"No Jump Front","0","Lost","Direct",5.25,23.03,-1.17576100432331,1.53308516728859,-0.885221064613535,0.48
"18","Billingham","Tynedale","Second Half","Left to Right",01:28:38,"Lineout",80.76,70,80.62,57.12,"Ath16","Ath29",7,"Back","1","Down and Drive","Indirect",12.88,19.24,1.3819057805948,1.87460561649492,-1.02657504527148,0.49
"19","Billingham","Otley","Second Half","Left to Right",00:43:48,"Lineout",38.88,0,38.88,13.98,"Ath2","Ath29",7,"Back","1","Off Top","Direct",13.98,61.12,1.75063886885298,0.147744698515534,0.535405089281229,0.22
