"Team","Opponent","Half","Direction","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","Thrower_ID","Receiver_ID","Lineout_Numbers","Lineout_Destination","Lineout_Outcome","Lineout_Secondary_Outcome","Contested","Distance","m_oppo_line","Distance_scaled","Minute_scaled","m_oppo_line_scaled","predit_success"
"Billingham","Chester","First Half","Left to Right",00:03:18,"Lineout",58.63,70.27,58.63,64.75,"Ath2","Ath7",7,"Front","1","Down and Drive","Direct",5.52,41.37,-1.07138919916085,-1.39189539276145,-0.187356107325781,0.63
"Billingham","Chester","First Half","Left to Right",00:06:43,"Lineout",5.55,70.27,5.55,64.88,"Ath2","Ath8",7,"Front","1","Down and Drive","None",5.39,94.45,-1.11365174281857,-1.2602105849046,1.78286567246859,0.83
"Billingham","Chester","First Half","Left to Right",00:11:54,"Lineout",64.23,70.14,64.79,64.49,"Ath2","Ath8",7,"Front","0","Off Top","Direct",5.68,35.77,-1.01937376081289,-1.06043509591201,-0.39521673217221,0.72
"Billingham","Chester","First Half","Left to Right",00:12:50,"Lineout",63.53,70.27,64.23,61.07,"Ath2","Ath8",7,"Middle","0",NA,"Direct",9.23,36.47,0.134718777532389,-1.02446266059502,-0.369234154066406,0.58
"Billingham","Chester","First Half","Left to Right",00:21:48,"Lineout",61.43,70.14,61.29,65.15,"Ath2","Ath8",7,"Front","1","Down and Drive","Direct",4.99,38.57,-1.24369033868846,-0.678870335585332,-0.291286419748995,0.76
"Billingham","Chester","First Half","Left to Right",00:23:22,"Lineout",62.41,0.3,62.27,5.56,"Ath2","Ath7",7,"Front","1","Down and Drive","Direct",5.26,37.59,-1.15591428647628,-0.618488033446094,-0.32766202909712,0.68
"Billingham","Harrogate","First Half","Left to Right",00:01:04,"Lineout",56.67,0,57.09,10.17,"Ath2","Ath8",7,"Middle","1","Off Top","Direct",10.18,43.33,0.44356044272338,-1.47797229155568,-0.114604888629531,0.44
"Billingham","Harrogate","First Half","Left to Right",00:11:14,"Lineout",40,0,39.72,7.8,"Ath2","Ath6",7,"Front","1","Off Top","Indirect",7.81,60,-0.326918237805725,-1.086129692567,0.504151649975821,0.61
"Billingham","Harrogate","First Half","Left to Right",00:17:25,"Lineout",34.96,70,34.54,55.41,"Ath2","Ath7",5,"Back","1","Off Top","None",14.6,65.04,1.88048692708568,-0.847812308591925,0.691226212337607,0.39
"Billingham","Harrogate","First Half","Left to Right",00:22:28,"Lineout",35.66,70,35.38,65.01,"Ath2","Ath6",5,"Front","0","Lost","Direct",5,64.34,-1.24043937379171,-0.653175738930337,0.665243634231804,0.53
"Billingham","Harrogate","First Half","Left to Right",00:25:24,"Lineout",72.77,70,72.77,56.6,"Ath2","Ath29",7,"Back","0","Lost","None",13.4,27.23,1.490371139476,-0.540119513648359,-0.712204185063014,0.45
