ID,Team,Direction,Venue,Opponent,Half,Event_Type,Start_X,Start_Y,Kick_Type,Kick_Outcome,Distance,Angle,p_chance
10,Billingham,Left to Right,Home,Durham University,First Half,Kick,78.43,64.87,Conversion,Successful,36.84,54.17,0.68
10,Billingham,Left to Right,Home,Durham University,First Half,Kick,76.73,0.86,Conversion,Successful,41.32,55.72,0.59
10,Billingham,Left to Right,Away,Preston,Second Half,Kick,77.92,0.97,Conversion,Unsuccessful,40.57,57.02,0.17
10,Billingham,Left to Right,Home,Wharfedale,Second Half,Kick,78.89,54.93,Conversion,Successful,29.03,43.35,0.8
10,Billingham,Left to Right,Home,Wharfedale,Second Half,Kick,89.14,46.18,Conversion,Successful,15.59,45.83,0.9
10,Billingham,Left to Right,Home,Wharfedale,Second Half,Kick,73.84,16.33,Penalty Goal,Unsuccessful,32.14,35.51,0.83
10,Billingham,Left to Right,Home,Wharfedale,Second Half,Kick,78.12,10.05,Conversion,Successful,33.18,48.75,0.71
12,Billingham,Left to Right,Home,DMP,First Half,Kick,90.85,30.02,Conversion,Successful,10.42,28.56,0.98
12,Billingham,Left to Right,Away,Hull,Second Half,Kick,75.67,69.18,Conversion,Unsuccessful,41.95,54.56,0.18
12,Billingham,Left to Right,Away,Hull,Second Half,Kick,90.36,27.1,Conversion,Successful,12.46,39.33,0.76
12,Billingham,Left to Right,Away,Hull,Second Half,Kick,93.73,36.41,Conversion,Successful,6.43,12.67,0.94
12,Billingham,Left to Right,Home,Otley,First Half,Kick,77.09,14.29,Conversion,Unsuccessful,30.88,42.11,0.85
12,Billingham,Left to Right,Home,Otley,First Half,Kick,74.17,5.2,Conversion,Successful,39.44,49.08,0.69
12,Billingham,Left to Right,Home,Otley,First Half,Kick,92.98,34.03,Conversion,Successful,7.09,7.87,0.99
12,Billingham,Left to Right,Home,Sheffield Tigers,Second Half,Kick,82.53,50.41,Conversion,Successful,23.3,41.41,0.87
12,Billingham,Left to Right,Home,Sheffield Tigers,Second Half,Kick,74.75,69.74,Conversion,Successful,42.95,53.99,0.5
12,Billingham,Left to Right,Home,Sheffield Tigers,Second Half,Kick,92.2,32.38,Conversion,Successful,8.23,18.57,0.98
12,Billingham,Left to Right,Home,Rossendale,First Half,Kick,75,66.06,Conversion,Unsuccessful,39.87,51.17,0.67
12,Billingham,Left to Right,Home,Rossendale,First Half,Kick,88.68,30.64,Conversion,Successful,12.13,21.06,0.98
12,Billingham,Left to Right,Home,Rossendale,First Half,Kick,83.02,28.39,Conversion,Successful,18.22,21.27,0.97
12,Billingham,Left to Right,Away,Scunthorpe,First Half,Kick,75.91,5.03,Conversion,Unsuccessful,38.45,51.21,0.31
12,Billingham,Left to Right,Away,Scunthorpe,First Half,Kick,86.91,31.51,Conversion,Successful,13.55,14.93,0.93
12,Billingham,Left to Right,Away,Scunthorpe,First Half,Kick,77.2,60.12,Conversion,Unsuccessful,33.92,47.77,0.42
10,Billingham,Right to Left,Home,Durham University,Second Half,Kick,81.17,52.47,Conversion,Successful,25.69,42.85,0.84
25,Billingham,Right to Left,Home,Durham University,Second Half,Kick,77.16,4.239999999999995,Conversion,Unsuccessful,38.31,53.41,0.58
25,Billingham,Right to Left,Home,Durham University,Second Half,Kick,95.21,34.93,Conversion,Successful,4.79,0.84,0.99
