id,event,gls,open play,Total Carries,GLS %,Positional Group
Ath1,carry,41,23,64,64,Forwards
Ath10,carry,6,5,11,55,Backs
Ath11,carry,19,4,23,83,Backs
Ath12,carry,17,10,27,63,Backs
Ath13,carry,31,11,42,74,Backs
Ath14,carry,13,16,29,45,Backs
Ath15,carry,35,37,72,49,Backs
Ath16,carry,18,9,27,67,Forwards
Ath17,carry,7,0,7,100,Forwards
Ath18,carry,5,6,11,45,Forwards
Ath19,carry,0,1,1,0,Forwards
Ath2,carry,9,17,26,35,Forwards
Ath20,carry,8,5,13,62,Forwards
Ath21,carry,0,5,5,0,Forwards
Ath22,carry,5,5,10,50,Backs
Ath23,carry,3,3,6,50,Backs
Ath24,carry,14,4,18,78,Backs
Ath25,carry,4,2,6,67,Backs
Ath27,carry,14,2,16,88,Backs
Ath29,carry,49,35,84,58,Forwards
Ath3,carry,20,14,34,59,Forwards
Ath31,carry,11,6,17,65,Forwards
Ath34,carry,1,1,2,50,Backs
Ath35,carry,16,6,22,73,Forwards
Ath36,carry,10,8,18,56,Forwards
Ath39,carry,3,6,9,33,Forwards
Ath4,carry,12,10,22,55,Forwards
Ath40,carry,0,1,1,0,Forwards
Ath5,carry,35,18,53,66,Forwards
Ath6,carry,55,54,109,50,Forwards
Ath7,carry,33,17,50,66,Forwards
Ath8,carry,25,34,59,42,Forwards
Ath9,carry,15,10,25,60,Backs
