var,raw_score,z_score,STEN,No,grp
DIS,2991.506667,-0.838757344,4,Ath14,Backs
MPM,60.17,-0.816749338,4,Ath14,Backs
HSR,793.1,-0.933883762,4,Ath14,Backs
TS,8.42,1.235425891,8,Ath14,Backs
SD,272.1866667,0.348361475,6,Ath14,Backs
DIS,3068.372308,-0.692192465,4,Ath22,Forwards
MPM,61.38692308,-0.653588903,4,Ath22,Forwards
HSR,776.6330769,-0.995718825,4,Ath22,Forwards
TS,6.22,-0.896692187,4,Ath22,Forwards
SD,89.87384615,-1.028555919,3,Ath22,Forwards
DIS,3310.435385,-0.230634541,5,Ath25,Backs
MPM,65.18384615,-0.144511844,5,Ath25,Backs
HSR,1280.015385,0.894535757,7,Ath25,Backs
TS,6.985384615,-0.154923835,5,Ath25,Backs
SD,194.5746154,-0.237803464,5,Ath25,Backs
DIS,4216.505,1.497029238,8,Ath7,Forwards
MPM,75.47071429,1.234712456,8,Ath7,Forwards
HSR,1558.150714,1.938963766,9,Ath7,Forwards
TS,8.491428571,1.304650504,8,Ath7,Forwards
SD,434.7571429,1.576174834,9,Ath7,Forwards
DIS,3166.520667,-0.505046398,4,Ath2,Forwards
MPM,66.39733333,0.018187919,6,Ath2,Forwards
HSR,1025.459333,-0.061349531,5,Ath2,Forwards
TS,6.897333333,-0.240258258,5,Ath2,Forwards
SD,160.406,-0.495861898,5,Ath2,Forwards
DIS,2883.829545,-1.044072542,3,Ath10,Backs
MPM,58.08318182,-1.096542012,3,Ath10,Backs
HSR,997.4663636,-0.166466136,5,Ath10,Backs
TS,6.391818182,-0.730175527,4,Ath10,Backs
SD,291.4286364,0.493686432,6,Ath10,Backs
DIS,3083.272273,-0.663781701,4,Ath3,Forwards
MPM,61.84090909,-0.592720178,4,Ath3,Forwards
HSR,835.2109091,-0.775752779,4,Ath3,Forwards
TS,6.315454545,-0.804182932,4,Ath3,Forwards
SD,120.7518182,-0.795350066,4,Ath3,Forwards
DIS,2623.3125,-1.540817887,2,Ath27,Forwards
MPM,46.595,-2.636833899,0,Ath27,Forwards
HSR,759.285,-1.060862715,3,Ath27,Forwards
TS,5.6175,-1.480601797,3,Ath27,Forwards
SD,68.19,-1.192323146,3,Ath27,Forwards
DIS,3315.465385,-0.221043503,5,Ath23,Forwards
MPM,60.34923077,-0.792718755,4,Ath23,Forwards
HSR,783.6953846,-0.969199102,4,Ath23,Forwards
TS,6.92,-0.218290981,5,Ath23,Forwards
SD,111.4638462,-0.865497466,4,Ath23,Forwards
DIS,4227.188571,1.517400321,9,Ath15,Backs
MPM,76.71285714,1.401254263,8,Ath15,Backs
HSR,1153.222143,0.418413528,6,Ath15,Backs
TS,8.693571429,1.500556159,9,Ath15,Backs
SD,420.6564286,1.469679204,8,Ath15,Backs
DIS,3963.906818,1.015383323,8,Ath12,Backs
MPM,78.58409091,1.652142196,9,Ath12,Backs
HSR,1268.675455,0.851953103,7,Ath12,Backs
TS,8.089545455,0.915167659,7,Ath12,Backs
SD,420.1359091,1.465747981,8,Ath12,Backs
DIS,3584.318,0.291595833,6,Ath8,Forwards
MPM,68.021,0.235882993,6,Ath8,Forwards
HSR,940.522,-0.380298332,5,Ath8,Forwards
TS,6.7065,-0.425203349,5,Ath8,Forwards
SD,116.964,-0.823957559,4,Ath8,Forwards
DIS,3816.186364,0.733714812,7,Ath1,Forwards
MPM,71.12,0.65138517,7,Ath1,Forwards
HSR,1155.686818,0.427668649,6,Ath1,Forwards
TS,6.438181818,-0.685242461,4,Ath1,Forwards
SD,156.5690909,-0.52484015,4,Ath1,Forwards
DIS,3659.626667,0.435191925,6,Ath9,Backs
MPM,67.85583333,0.213738072,6,Ath9,Backs
HSR,1545.565833,1.891706187,9,Ath9,Backs
TS,7.7625,0.598213329,7,Ath9,Backs
SD,279.5391667,0.403891224,6,Ath9,Backs
DIS,3238.179286,-0.368410097,5,Ath11,Backs
MPM,62.32928571,-0.527240491,4,Ath11,Backs
HSR,957.28,-0.317370244,5,Ath11,Backs
TS,8.265,1.085208481,8,Ath11,Backs
SD,308.495,0.622580127,7,Ath11,Backs
DIS,2677.955,-1.436627363,3,Ath5,Forwards
MPM,68.335,0.277982923,6,Ath5,Forwards
HSR,849.0825,-0.723663467,4,Ath5,Forwards
TS,5.925,-1.182589839,3,Ath5,Forwards
SD,84.475,-1.069330699,3,Ath5,Forwards
DIS,4473.5225,1.987101765,9,Ath13,Backs
MPM,73.995,1.036854276,8,Ath13,Backs
HSR,1482.275,1.654042317,9,Ath13,Backs
TS,8.225,1.046442698,8,Ath13,Backs
SD,413.56,1.416083434,8,Ath13,Backs
DIS,3689.85619,0.492832588,6,Ath4,Forwards
MPM,67.92190476,0.222596679,6,Ath4,Forwards
HSR,1006.292857,-0.133321706,5,Ath4,Forwards
TS,6.683333333,-0.447655198,5,Ath4,Forwards
SD,138.277619,-0.662986473,4,Ath4,Forwards
DIS,3969.346923,1.025756336,8,Ath28,Backs
MPM,77.85923077,1.554955695,9,Ath28,Backs
HSR,1284.609231,0.911786142,7,Ath28,Backs
TS,8.35,1.16758577,8,Ath28,Backs
SD,389.11,1.231424834,8,Ath28,Backs
DIS,3754.287857,0.615688773,7,Ath6,Forwards
MPM,68.88785714,0.352107914,6,Ath6,Forwards
HSR,1220.627143,0.671526537,7,Ath6,Forwards
TS,7.187142857,0.040609072,6,Ath6,Forwards
SD,296.2985714,0.530466612,7,Ath6,Forwards
DIS,3278.624615,-0.291290271,5,Ath26,Backs
MPM,63.64076923,-0.351401751,5,Ath26,Backs
HSR,834.2715385,-0.779280217,4,Ath26,Backs
TS,8.293846154,1.113164575,8,Ath26,Backs
SD,318.8261538,0.700606156,7,Ath26,Backs
DIS,3270.336667,-0.30709346,5,Ath16,Forwards
MPM,63.24666667,-0.404241529,5,Ath16,Forwards
HSR,746.9333333,-1.107244549,3,Ath16,Forwards
TS,6,-1.109903995,3,Ath16,Forwards
SD,67.54333333,-1.197207095,3,Ath16,Forwards
