ID,Opposition,TD,MPM,HSR,SD,TS,Accels,Decels,Max_Accel,Max_Decel,cv_Accels,cv_Decels,cv_HSR,cv_MPM,cv_Max_Accel,cv_Max_Decel,cv_SD,cv_TD,cv_TS,TD_Sumcv,MPM_Sumcv,HSR_Sumcv,SD_Sumcv,TS_Sumcv,Accels_Sumcv,Decels_Sumcv,Max_Accel_Sumcv,Max_Decel_Sumcv,TD_Subcv,MPM_Subcv,HSR_Subcv,SD_Subcv,TS_Subcv,Accels_Subcv,Decels_Subcv,Max_Accel_Subcv,Max_Decel_Subcv
Ath1,Blaydon,6317.989,44.83,985.7532,132.838,6.88,0,0,13.252,17.6574,,,39.88924933,27.47687655,58.23806546,51.87046408,49.02774214,25.55703399,5.452202412,6343.546034,72.30687655,1025.642449,181.8657421,12.33220241,,,71.49006546,69.52786408,6292.431966,17.35312345,945.8639507,83.81025786,1.427797588,,,-44.98606546,-34.21306408
Ath18,Blaydon,6064.291,40.67,861.9393,153.51,7.56,0,0,14.3557,16.7195,,,93.2630631,93.77488518,106.9993435,109.1606028,86.75874527,86.62059263,88.2308756,6150.911593,134.4448852,955.2023631,240.2687453,95.7908756,,,121.3550435,125.8801028,5977.670407,-53.10488518,768.6762369,66.75125473,-80.6708756,,,-92.64364352,-92.44110281
Ath19,Blaydon,7325.695,44.98,1389.5982,600.446,7.55,0,0,15.5157,19.2017,,,64.10751115,35.97435375,67.39884361,67.31787877,88.8468402,75.9939323,8.317969989,7401.688932,80.95435375,1453.705711,689.2928402,15.86796999,,,82.91454361,86.51957877,7249.701068,9.005646245,1325.490689,511.5991598,-0.767969989,,,-51.88314361,-48.11617877
Ath5,Blaydon,6087.29,37.6,1019.3499,128.462,6.63,0,0,15.2839,17.4557,,,24.04852892,17.33604156,56.16972124,56.81722424,31.00745653,17.59158591,6.989048381,6104.881586,54.93604156,1043.398429,159.4694565,13.61904838,,,71.45362124,74.27292424,6069.698414,20.26395844,995.3013711,97.45454347,-0.359048381,,,-40.88582124,-39.36152424
Ath6,Blaydon,6974.745,47.05,1105.0778,262.18,8.38,0,0,15.4483,17.286,,,18.38857011,13.17188731,58.72542358,41.30173538,22.77619317,9.854128346,10.48936568,6984.599128,60.22188731,1123.46637,284.9561932,18.86936568,,,74.17372358,58.58773538,6964.890872,33.87811269,1086.68923,239.4038068,-2.109365679,,,-43.27712358,-24.01573538
Ath7,Blaydon,6896.654,50.8,1282.7383,498.735,6.96,0,0,15.5007,16.7961,,,21.32185624,15.82752004,51.28684932,43.80993558,20.55507787,5.530548935,4.383396279,6902.184549,66.62752004,1304.060156,519.2900779,11.34339628,,,66.78754932,60.60603558,6891.123451,34.97247996,1261.416444,478.1799221,2.576603721,,,-35.78614932,-27.01383558
Ath29,Blaydon,7082.626,46.41,1574.2575,176.273,7.18,0,0,14.2498,20.1491,,,16.28979731,18.05591461,57.15639879,56.56717899,51.51826238,8.82532615,7.613096792,7091.451326,64.46591461,1590.547297,227.7912624,14.79309679,,,71.40619879,76.71627899,7073.800674,28.35408539,1557.967703,124.7547376,-0.433096792,,,-42.90659879,-36.41807899
Ath9,Blaydon,5366.512,53.27,1565.584,243.371,7.64,0,0,9.592,10.81,,,18.04660977,16.18152552,34.62142757,26.60316974,34.7432654,18.80214173,5.931815551,5385.314142,69.45152552,1583.63061,278.1142654,13.57181555,,,44.21342757,37.41316974,5347.709858,37.08847448,1547.53739,208.6277346,1.708184449,,,-25.02942757,-15.79316974
Ath10,Blaydon,6070.638,50.91,1084.222,352.115,7.46,0,0,15.5294,14.9945,,,26.12690555,12.85886745,52.65091985,48.31499094,66.74772021,21.13108858,8.660911563,6091.769089,63.76886745,1110.348906,418.8627202,16.12091156,,,68.18031985,63.30949094,6049.506911,38.05113255,1058.095094,285.3672798,-1.200911563,,,-37.12151985,-33.32049094
Ath14,Blaydon,8614.839,45.55,1730.6654,854.46,8.76,0,0,16.3794,19.8276,,,17.67679648,18.76310491,62.15212915,42.41496688,7.366726785,18.2088331,4.658860894,8633.047833,64.31310491,1748.342196,861.8267268,13.41886089,,,78.53152915,62.24256688,8596.630167,26.78689509,1712.988604,847.0932732,4.101139106,,,-45.77272915,-22.58736688
Ath12,Blaydon,6599.365,59.17,1445.3783,744.286,8.31,0,0,15.6356,17.4712,,,7.948194092,10.60251529,52.43891297,41.64285021,18.23568148,6.858597743,6.92985572,6606.223598,69.77251529,1453.326494,762.5216815,15.23985572,,,68.07451297,59.11405021,6592.506402,48.56748471,1437.430106,726.0503185,1.38014428,,,-36.80331297,-24.17165021
Ath13,Blaydon,11369.975,52.24,2183.453,634.611,7.98,0,0,22.6049,30.5769,,,31.95901555,12.02021804,84.19039147,77.29807725,30.47022764,41.77219973,7.775952378,11411.7472,64.26021804,2215.412016,665.0812276,15.75595238,,,106.7952915,107.8749772,11328.2028,40.21978196,2151.493984,604.1407724,0.204047622,,,-61.58549147,-46.72117725
Ath11,Blaydon,10992.9,46.83,1965.9886,392.195,8.63,0,0,25.2713,29.5826,,,15.95142129,17.18989947,89.6515921,67.71808794,17.26558923,29.60281639,2.433414782,11022.50282,64.01989947,1981.940021,409.4605892,11.06341478,,,114.9228921,97.30068794,10963.29718,29.64010053,1950.037179,374.9294108,6.196585218,,,-64.3802921,-38.13548794
Ath15,Blaydon,5072.296,48.83,723.3112,403.878,7.73,0,0,9.7311,14.1779,,,26.14248442,15.0573229,32.57898905,28.54657672,29.88028599,13.58500971,5.735026886,5085.88101,63.8873229,749.4536844,433.758286,13.46502689,,,42.31008905,42.72447672,5058.71099,33.7726771,697.1687156,373.997714,1.994973114,,,-22.84788905,-14.36867672
Ath3,Blaydon,0,0,0,0,0,0,0,0,0,,,75.72137583,63.18636466,56.44375076,62.13624412,58.60439044,65.65224392,55.9844513,65.65224392,63.18636466,75.72137583,58.60439044,55.9844513,,,56.44375076,62.13624412,-65.65224392,-63.18636466,-75.72137583,-58.60439044,-55.9844513,,,-56.44375076,-62.13624412
Ath16,Blaydon,0,0,0,0,0,0,0,0,0,,,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,,,173.2050808,173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,,,-173.2050808,-173.2050808
Ath4,Blaydon,0,0,0,0,0,0,0,0,0,,,84.72483116,71.29136037,67.12291599,67.23384346,68.7825496,85.32988191,66.70478403,85.32988191,71.29136037,84.72483116,68.7825496,66.70478403,,,67.12291599,67.23384346,-85.32988191,-71.29136037,-84.72483116,-68.7825496,-66.70478403,,,-67.12291599,-67.23384346
Ath31,Blaydon,0,0,0,0,0,0,0,0,0,,,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,,,141.4213562,141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,-141.4213562,,,-141.4213562,-141.4213562
Ath22,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath24,Blaydon,0,0,0,0,0,0,0,0,0,,,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,173.2050808,,,173.2050808,173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,-173.2050808,,,-173.2050808,-173.2050808
Ath23,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath25,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath28,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath17,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath26,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath30,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath33,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath32,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath34,Blaydon,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ath1,Durham Uni,2625.192,28.9596,344.6481,39.122,6.6578,0,0,4.7482,7.0312,,,39.88924933,27.47687655,58.23806546,51.87046408,49.02774214,25.55703399,5.452202412,2650.749034,56.43647655,384.5373493,88.14974214,12.11000241,,,62.98626546,58.90166408,2599.634966,1.482723452,304.7588507,-9.905742137,1.205597588,,,-53.48986546,-44.83926408
Ath2,Durham Uni,3818.158,73.3791,1144.2229,153.143,6.4978,0,0,5.7378,7.5273,,,24.93300909,7.866548068,8.691736048,8.999338154,35.37852387,22.44240164,6.216459097,3840.600402,81.24564807,1169.155909,188.5215239,12.7142591,,,14.42953605,16.52663815,3795.715598,65.51255193,1119.289891,117.7644761,0.281340903,,,-2.953936048,-1.472038154
Ath3,Durham Uni,3592.061,39.6183,443.1142,29.729,5.5867,0,0,4.8852,7.8578,,,75.72137583,63.18636466,56.44375076,62.13624412,58.60439044,65.65224392,55.9844513,3657.713244,102.8046647,518.8355758,88.33339044,61.5711513,,,61.32895076,69.99404412,3526.408756,-23.56806466,367.3928242,-28.87539044,-50.3977513,,,-51.55855076,-54.27844412
Ath4,Durham Uni,2942.544,65.7307,562.2903,95.881,6.2801,0,0,4.6425,7.0445,,,84.72483116,71.29136037,67.12291599,67.23384346,68.7825496,85.32988191,66.70478403,3027.873882,137.0220604,647.0151312,164.6635496,72.98488403,,,71.76541599,74.27834346,2857.214118,-5.560660374,477.5654688,27.0984504,-60.42468403,,,-62.48041599,-60.18934346
Ath5,Durham Uni,5211.959,57.4848,1091.6323,108.022,6.6956,0,0,4.6334,6.7112,,,24.04852892,17.33604156,56.16972124,56.81722424,31.00745653,17.59158591,6.989048381,5229.550586,74.82084156,1115.680829,139.0294565,13.68464838,,,60.80312124,63.52842424,5194.367414,40.14875844,1067.583771,77.01454347,-0.293448381,,,-51.53632124,-50.10602424
