"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"1","Unknown","HSFC","Scarborough","Second Half",00:41:22,"Carry",27.17,19.39,26.64,21.41,"No GLS",0,1,"Kick Return",NA,"Multi-Phase",NA,2.09,"Own 22 to Halfway"
"2","Joe Syson","HSFC","Scarborough","Second Half",00:41:26,"Carry",24.53,21.41,28.04,23.88,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,4.29,"Own 22 to Halfway"
"3","19","HSFC","Scarborough","Second Half",00:41:29,"Carry",25.59,24.89,27.17,26.58,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,2.31,"Own 22 to Halfway"
"4","Charlie Evans","HSFC","Scarborough","Second Half",00:41:35,"Carry",26.46,34.44,29.27,34.66,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.82,"Own 22 to Halfway"
"5","22","HSFC","Scarborough","Second Half",00:41:46,"Carry",25.59,52.97,41.55,64.65,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,19.78,"Own 22 to Halfway"
"6","18","HSFC","Scarborough","Second Half",00:42:42,"Carry",41.03,55.44,43.66,55.89,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.67,"Own 22 to Halfway"
"7","Jack Brown","HSFC","Scarborough","Second Half",00:45:14,"Carry",20.32,54.76,38.39,63.19,"GLS",0,0,"Other","Off Target","Multi-Phase",NA,19.94,"Own 22"
"8","Darcey Bennett","HSFC","Scarborough","Second Half",00:45:25,"Carry",13.31,44.43,13.31,44.43,"No GLS",0,0,"Other","Off Target","Multi-Phase",NA,0,"Own 22"
"9","Jack Brown","HSFC","Scarborough","Second Half",00:45:58,"Carry",14.89,64.08,22.43,63.52,"No GLS",0,0,"Tap Pen","Off Target","Multi-Phase",NA,7.56,"Own 22"
"10","Charlie Evans","HSFC","Scarborough","Second Half",00:46:50,"Carry",15.76,63.75,19.27,52.41,"GLS",0,0,"Pick & Go",NA,"Scrum",NA,11.87,"Own 22"
"11","Joe Syson","HSFC","Scarborough","Second Half",00:47:05,"Carry",20.32,51.62,49.97,35.9,"No GLS",1,0,"Tap Pen",NA,"Multi-Phase",NA,33.56,"Own 22"
"12","Unknown","HSFC","Scarborough","Second Half",00:48:36,"Carry",18.92,29.05,25.41,31.63,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,6.98,"Own 22"
"13","21","HSFC","Scarborough","Second Half",00:48:44,"Carry",21.38,35.67,24.01,35.11,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,2.69,"Own 22"
"14","Joe Syson","HSFC","Scarborough","Second Half",00:48:51,"Carry",24.01,34.55,25.24,33.76,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,1.46,"Own 22 to Halfway"
"15","Unknown","HSFC","Scarborough","Second Half",00:48:55,"Carry",25.76,33.43,34.71,31.97,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,9.07,"Own 22 to Halfway"
"16","23","HSFC","Scarborough","Second Half",00:48:58,"Carry",34.53,33.43,41.73,35,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,7.37,"Own 22 to Halfway"
"17","18","HSFC","Scarborough","Second Half",00:51:11,"Carry",22.25,57.01,35.76,59.82,"GLS",0,1,"Other",NA,"Lineout",NA,13.8,"Own 22 to Halfway"
"18","Unknown","HSFC","Scarborough","Second Half",00:51:18,"Carry",32.43,54.54,39.8,54.76,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,7.37,"Own 22 to Halfway"
"19","16","HSFC","Scarborough","Second Half",00:51:31,"Carry",28.22,14,45.41,6.81,"GLS",0,1,"Other","On Target","Multi-Phase",NA,18.63,"Own 22 to Halfway"
"20","Darcey Bennett","HSFC","Scarborough","Second Half",00:51:37,"Carry",41.55,16.81,47.69,17.03,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,6.14,"Own 22 to Halfway"
"21","18","HSFC","Scarborough","Second Half",00:51:50,"Carry",40.32,54.54,49.8,54.76,"GLS",0,0,"Other","Off Target","Multi-Phase",NA,9.48,"Own 22 to Halfway"
"22","Charlie Evans","HSFC","Scarborough","Second Half",00:52:12,"Carry",69.27,55.33,87.87,48.81,"No GLS",0,0,"Tap Pen","Off Target","Penalty",NA,19.71,"Halfway to Opposition 22"
"23","Joe Syson","HSFC","Scarborough","Second Half",00:53:13,"Carry",70.85,61.05,75.41,32.98,"GLS",0,0,"Other",NA,"Multi-Phase",NA,28.44,"Halfway to Opposition 22"
"24","Joe Syson","HSFC","Scarborough","Second Half",00:54:44,"Carry",67.69,12.43,85.76,15.35,"No GLS",0,0,"Tap Pen",NA,"Penalty",NA,18.3,"Halfway to Opposition 22"
"25","Charlie Evans","HSFC","Scarborough","Second Half",00:54:44,"Carry",84.53,14.78,84.53,14.78,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0,"Opposition 22"
"26","18","HSFC","Scarborough","Second Half",00:54:56,"Carry",89.27,18.71,93.83,18.15,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.59,"Opposition 22"
"27","Joe Syson","HSFC","Scarborough","Second Half",00:55:07,"Carry",91.38,19.05,94.88,16.47,"No GLS",0,1,"Support Carry",NA,"Multi-Phase",NA,4.35,"Opposition 22"
"28","Charlie Evans","HSFC","Scarborough","Second Half",00:55:26,"Carry",94.71,17.26,98.92,15.01,"No GLS",0,1,"Tap Pen",NA,"Penalty",NA,4.77,"Opposition 22"
"29","Dan Waldock","HSFC","Scarborough","Second Half",00:55:30,"Carry",98.74,14.9,99.8,14.34,"GLS",0,1,"Pick & Go",NA,"Multi-Phase",NA,1.2,"Opposition 22"
"30","23","HSFC","Scarborough","Second Half",01:00:28,"Carry",54.71,49.49,51.37,51.28,"No GLS",0,0,"Other","Off Target","Scrum",NA,3.79,"Halfway to Opposition 22"
"31","Riley Ward","HSFC","Scarborough","Second Half",01:01:06,"Carry",65.59,29.04,78.57,28.6,"GLS",0,0,"Other",NA,"Multi-Phase",NA,12.99,"Halfway to Opposition 22"
"32","Dan Waldock","HSFC","Scarborough","Second Half",01:01:09,"Carry",78.4,32.19,83.48,31.85,"No GLS",0,1,"Support Carry","On Target","Multi-Phase",NA,5.09,"Opposition 22"
"33","Matthew Fothergill","HSFC","Scarborough","Second Half",01:01:17,"Carry",83.48,31.85,85.77,34.66,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,3.62,"Opposition 22"
"34","Joe Browell","HSFC","Scarborough","Second Half",01:01:29,"Carry",78.05,18.37,90.15,15.34,"GLS",0,0,"Other","On Target","Multi-Phase",NA,12.47,"Opposition 22"
"35","Dan Waldock","HSFC","Scarborough","Second Half",01:02:05,"Carry",78.92,30.84,89.63,33.31,"No GLS",0,0,"Tap Pen","On Target","Penalty",NA,10.99,"Opposition 22"
