"","ID","Team","Opponent","Half","Minute","Event_Type","Tackle_Type","Outcome","Start_X","Start_Y","pitch_location","pitch_width"
"1","20","HSFC","Scarborough","Second Half",00:42:54,"Tackle","Missed","Passive",43.31,17.82,"Own 22 to Halfway","Between 15's"
"2","12","HSFC","Scarborough","Second Half",00:42:58,"Tackle","Missed","Passive",35.94,16.02,"Own 22 to Halfway","Between 15's"
"3","15","HSFC","Scarborough","Second Half",00:42:59,"Tackle","Missed","Passive",33.83,14.11,"Own 22 to Halfway","Lower 15"
"4","9","HSFC","Scarborough","Second Half",00:43:04,"Tackle","Successful","Neutral",1.03,0.75,"Own 22","Lower 15"
"5","23","HSFC","Scarborough","Second Half",00:43:54,"Tackle","Missed","Passive",36.99,29.72,"Own 22 to Halfway","Between 15's"
"6","22","HSFC","Scarborough","Second Half",00:44:00,"Tackle","Successful","Neutral",27.87,55.21,"Own 22 to Halfway","Upper 15"
"7","16","HSFC","Scarborough","Second Half",00:43:59,"Tackle","Missed","Neutral",30.5,55.33,"Own 22 to Halfway","Upper 15"
"8","8","HSFC","Scarborough","Second Half",00:44:07,"Tackle","Successful","Neutral",25.76,30.73,"Own 22 to Halfway","Between 15's"
"9","16","HSFC","Scarborough","Second Half",00:48:01,"Tackle","Successful","Neutral",48.57,55.1,"Own 22 to Halfway","Upper 15"
"10","16","HSFC","Scarborough","Second Half",00:48:08,"Tackle","Successful","Neutral",40.15,59.59,"Own 22 to Halfway","Upper 15"
"11","21","HSFC","Scarborough","Second Half",00:48:15,"Tackle","Successful","Neutral",34.01,54.54,"Own 22 to Halfway","Between 15's"
"12","24","HSFC","Scarborough","Second Half",00:50:01,"Tackle","Successful","Neutral",65.41,65.21,"Halfway to Opposition 22","Upper 15"
"13","8","HSFC","Scarborough","Second Half",00:52:00,"Tackle","Successful","Neutral",74.53,55.77,"Halfway to Opposition 22","Upper 15"
"14","20","HSFC","Scarborough","Second Half",00:53:17,"Tackle","Successful","Neutral",94.88,6.81,"Oppostion 22","Lower 15"
"15","22","HSFC","Scarborough","Second Half",00:53:19,"Tackle","Missed","Passive",92.95,8.05,"Oppostion 22","Lower 15"
"16","9","HSFC","Scarborough","Second Half",00:53:22,"Tackle","Successful","Neutral",85.59,2.66,"Oppostion 22","Lower 15"
"17","8","HSFC","Scarborough","Second Half",00:53:30,"Tackle","Successful","Neutral",84.01,13.77,"Oppostion 22","Lower 15"
"18","23","HSFC","Scarborough","Second Half",00:58:12,"Tackle","Missed","Passive",18.21,31.85,"Own 22","Between 15's"
"19","6","HSFC","Scarborough","Second Half",00:59:30,"Tackle","Successful","Neutral",72.08,15,"Halfway to Opposition 22","Lower 15"
