"","Kick_Index","Opposition","ID","Kick_Minute","Kick_Type","Kick_Start_X","Kick_Start_Y","Kick_End_X","Kick_End_Y","Kick_Direction","Next_Possession_Index","Next_Possession_Minute","Possession_Start_X","Possession_Start_Y","Possession_Direction","X_Distance","Territory","start_pitch_location","start_zone","end_pitch_location","end_zone","Distance"
"1",271,"Scarborough","Ben Gosling",00:42:52,"Open Play",27.34,31.74,42.78,18.27,"Left to Right",277,00:43:42,4.89,10.07,"Left to Right",22.45,-22.45,"Own 22 to Halfway","B2","Own 22 to Halfway","B2",20.49
"2",279,"Scarborough","Joe Syson",00:43:48,"Open Play",2.78,3.78,39.97,10.07,"Left to Right",285,00:44:59,22.6,19.05,"Left to Right",19.82,19.82,"Own 22","A1","Own 22 to Halfway","B1",37.72
"3",330,"Scarborough","Ben Gosling",00:49:23,"Open Play",41.55,34.89,59.97,69.92,"Left to Right",332,00:49:58,59.8,60.04,"Left to Right",18.25,18.25,"Own 22 to Halfway","B2","Halfway to Opposition 22","C4",39.58
"4",352,"Scarborough","Joe Syson",00:51:55,"Box",49.45,54.54,78.39,54.65,"Left to Right",356,00:52:08,70.67,54.99,"Left to Right",21.22,21.22,"Own 22 to Halfway","B3","Opposition 22","D3",28.94
"5",364,"Scarborough","Joe Syson",00:53:15,"Open Play",75.41,32.98,94.53,12.2,"Left to Right",370,00:54:29,72.6,-0.15,"Left to Right",2.81,-2.81,"Halfway to Opposition 22","C2","Opposition 22","D1",28.24
"6",401,"Scarborough","Joe Cholmondely",01:00:36,"Box",52.43,52.74,75.76,54.77,"Left to Right",407,01:01:03,67.34,30.17,"Left to Right",14.91,14.91,"Halfway to Opposition 22","C3","Halfway to Opposition 22","C3",23.42
"7",480,"Scarborough","Joe Cholmondely",01:00:36,"Box",52.43,52.74,75.76,54.77,"Left to Right",407,01:01:03,67.34,30.17,"Left to Right",14.91,14.91,"Halfway to Opposition 22","C3","Halfway to Opposition 22","C3",23.42
"8",628,"TyneMet","Joe Cholmondely",00:14:18,"Box",33.41,22.81,79.6,5.54,"Left to Right",630,00:14:29,57.24,27.53,"Left to Right",23.83,23.83,"Own 22 to Halfway","B2","Opposition 22","D1",49.31
"9",682,"TyneMet","Joe Cholmondely",00:20:34,"Box",28.4,17.43,67.27,4.41,"Left to Right",696,00:22:12,25.47,56.59,"Left to Right",2.93,-2.93,"Own 22 to Halfway","B2","Halfway to Opposition 22","C1",40.99
"10",705,"TyneMet","Joe Cholmondely",00:22:59,"Open Play",10.42,61.19,58.28,47.72,"Left to Right",714,00:24:41,31.11,64.78,"Left to Right",20.69,20.69,"Own 22","A4","Halfway to Opposition 22","C3",49.72
"11",720,"TyneMet","Joe Browell",00:25:03,"Open Play",13.35,31.23,67.27,22.7,"Left to Right",729,00:27:39,42.4,65,"Left to Right",29.05,29.05,"Own 22","A2","Halfway to Opposition 22","C2",54.59
"12",790,"TyneMet","Joe Cholmondely",00:34:30,"Open Play",35.08,61.86,97.58,-0.19,"Left to Right",792,00:35:11,94.86,9.58,"Left to Right",59.78,59.78,"Own 22 to Halfway","B4","Opposition 22","D1",88.07
"13",890,"TyneMet","Joe Cholmondely",00:41:28,"Box",52.87,31.93,84.24,9.15,"Left to Right",902,00:43:15,43.08,27.44,"Left to Right",9.79,-9.79,"Halfway to Opposition 22","C2","Opposition 22","D1",38.77
"14",928,"TyneMet","Joe Cholmondely",00:44:41,"Box",65.11,19.25,82.56,9.38,"Left to Right",933,00:45:31,60.37,9.71,"Left to Right",4.74,-4.74,"Halfway to Opposition 22","C2","Opposition 22","D1",20.05
"15",85,"Scarborough","Ben Gosling",00:10:40,"Open Play",19.15,18.61,73.54,26.69,"Right to Left",87,00:11:21,55.29,35.9,"Right to Left",36.14,36.14,"Own 22","A2","Halfway to Opposition 22","C2",54.99
"16",140,"Scarborough","Joe Syson",00:17:34,"Box",56.69,15.12,94.76,6.81,"Right to Left",146,00:18:01,98.27,29.95,"Right to Left",41.58,41.58,"Halfway to Opposition 22","C2","Opposition 22","D1",38.97
"17",970,"TyneMet","Joe Cholmondely",00:55:54,"Box",52.38,47.41,79.34,48.76,"Right to Left",972,00:55:59,21.65,60.31,"Right to Left",30.73,-30.73,"Halfway to Opposition 22","C3","Opposition 22","D3",26.99
"18",1006,"TyneMet","23",00:59:24,"Open Play",21.23,55.49,59.9,47.19,"Right to Left",1009,00:59:38,0.540000000000006,30.8,"Right to Left",20.69,-20.69,"Own 22","A4","Halfway to Opposition 22","C3",39.55
"19",1079,"TyneMet","Joe Cholmondely",01:11:33,"Open Play",34.73,38.86,63.66,63.99,"Right to Left",1098,01:15:33,64.12,41.33,"Right to Left",29.39,29.39,"Own 22 to Halfway","B3","Halfway to Opposition 22","C4",38.32
