"","Kick_Index","Opposition","ID","Kick_Minute","Kick_Type","Kick_Start_X","Kick_Start_Y","Kick_End_X","Kick_End_Y","Kick_Direction","Next_Possession_Index","Next_Possession_Minute","Possession_Start_X","Possession_Start_Y","Possession_Direction","X_Distance","Territory","start_pitch_location","start_zone","end_pitch_location","end_zone","Distance"
"1",9,"Chester","15",00:01:59,"Open Play",21.71,35.18,78.51,43.95,"Left to Right",11,00:02:27,60.95,70.15,"Left to Right",39.24,39.24,"Own 22","A3","Opposition 22","D3",57.47
"2",62,"Chester","15",00:09:13,"Open Play",58.2,49.12,83.27,70.15,"Left to Right",64,00:09:59,54.69,64.19,"Left to Right",3.51,-3.51,"Halfway to Opposition 22","C3","Opposition 22","D4",32.72
"3",77,"Chester","10",00:11:32,"Open Play",29.49,23.15,77.25,36.64,"Left to Right",79,00:11:43,35.88,67,"Left to Right",6.39,6.39,"Own 22 to Halfway","B2","Halfway to Opposition 22","C3",49.63
"4",108,"Chester","9",00:15:14,"Box",34.13,16.29,52.05,19.22,"Left to Right",111,00:16:05,45.91,20.45,"Left to Right",11.78,11.78,"Own 22 to Halfway","B2","Halfway to Opposition 22","C2",18.16
"5",113,"Chester","10",00:16:18,"Open Play",43.28,35.97,77.38,49.8,"Left to Right",116,00:16:44,55.06,68.57,"Left to Right",11.78,11.78,"Own 22 to Halfway","B3","Halfway to Opposition 22","C3",36.8
"6",118,"Chester","15",00:16:51,"Open Play",54.94,33.27,76.25,0.67,"Left to Right",122,00:18:08,68.23,69.92,"Left to Right",13.29,13.29,"Halfway to Opposition 22","C2","Halfway to Opposition 22","C1",38.95
"7",261,"Chester","14",00:34:08,"Open Play",11.94,2.13,61.21,13.93,"Left to Right",263,00:35:00,60.17,14.49,"Left to Right",48.23,48.23,"Own 22","A1","Halfway to Opposition 22","C1",50.66
"8",271,"Chester","9",00:36:01,"Open Play",5.17,66.21,5.29,70.26,"Left to Right",273,00:37:19,5.29,55.08,"Left to Right",0.12,0.12,"Own 22","A4","Own 22","A4",4.05
"9",287,"Chester","10",00:39:00,"Open Play",5.67,56.54,40.02,70.15,"Left to Right",301,00:42:14,52.56,10.34,"Left to Right",46.89,46.89,"Own 22","A4","Own 22 to Halfway","B4",36.95
"10",357,"Chester","15",00:59:47,"Open Play",7.34,23.3,61.14,-0.140000000000001,"Right to Left",359,01:00:37,22.49,70.2,"Right to Left",15.15,15.15,"Own 22","A2","Halfway to Opposition 22","C1",58.68
"11",409,"Chester","9",01:08:01,"Box",40.17,23.3,67.55,17.36,"Right to Left",418,01:09:39,4.81,4.56999999999999,"Right to Left",35.36,-35.36,"Own 22 to Halfway","B2","Halfway to Opposition 22","C2",28.02
"12",421,"Chester","9",01:09:56,"Box",2.87,4.90000000000001,25.6,1.2,"Right to Left",430,00:14:27,52.01,61.68,"Right to Left",49.14,49.14,"Own 22","A1","Own 22 to Halfway","B1",23.03
"13",453,"Chester","9",01:16:50,"Grubber",62.7,9.17,91.45,3.78,"Right to Left",456,01:17:25,94.36,8.16,"Right to Left",31.66,31.66,"Halfway to Opposition 22","C1","Opposition 22","D1",29.25
"14",536,"Chester","25",01:26:05,"Open Play",18.8,17.81,74.74,16.57,"Right to Left",538,01:26:18,34.53,38.67,"Right to Left",15.73,15.73,"Own 22","A2","Halfway to Opposition 22","C2",55.95
"15",566,"Chester","25",01:30:32,"Open Play",-0.760000000000005,44.96,34.66,68.97,"Right to Left",569,01:31:05,21.47,64.37,"Right to Left",22.23,22.23,"Own 22","A3","Own 22 to Halfway","B4",42.79
"16",574,"Chester","25",01:31:21,"Open Play",11.83,29.25,55.12,15.11,"Right to Left",588,01:35:00,49.81,34.75,"Right to Left",37.98,37.98,"Own 22","A2","Halfway to Opposition 22","C2",45.54
