opposition,total_gls,total_op,total_carries,gls_percent
Chester,23,31,54,43
Chester (H),38,30,68,56
Durham Uni,67,41,108,62
Fylde,59,31,90,66
Fylde (A),49,36,85,58
Harrogate,28,27,55,51
Harrogate (A),29,37,66,44
Hull,34,20,54,63
Hull (H),38,25,63,60
Hull I's,30,26,56,54
Hull I's (A),37,43,80,46
Leeds,47,32,79,59
Leeds (A),36,43,79,46
Lymm,57,60,117,49
Lymm (A),33,36,69,48
Otley,33,37,70,47
Otley (A),34,34,68,50
Preston,45,34,79,57
Preston (H),31,30,61,51
Sheffield,42,19,61,69
Sheffield (A),20,26,46,43
Sheffield Tigers,37,36,73,51
Sheffield Tigers (H),60,26,86,70
Tynedale,54,43,97,56
Tynedale (H),28,25,53,53
Wharfedale,37,27,64,58
Wharfedale (H),34,30,64,53
