id,error,gls,kick return,offload,open play,tap pen,tap pen support,total_carries
Ath1,1,37,4,1,20,1,2,66
Ath10,0,6,3,0,6,2,0,17
Ath11,4,19,8,0,12,0,2,45
Ath12,1,17,3,0,16,0,1,38
Ath13,2,30,2,0,15,1,1,51
Ath14,0,13,16,0,20,1,1,51
Ath15,0,34,23,0,35,5,3,100
Ath16,0,18,0,0,12,0,1,31
Ath17,0,7,0,0,0,0,0,7
Ath18,0,5,0,0,6,0,2,13
Ath19,0,0,0,0,1,0,0,1
Ath2,0,7,1,0,14,0,0,22
Ath20,0,8,0,0,6,0,0,14
Ath21,0,0,0,0,5,0,0,5
Ath22,1,5,2,0,7,6,0,21
Ath23,1,2,1,0,2,0,0,6
Ath24,0,11,1,0,6,0,0,18
Ath25,0,4,5,0,2,0,2,13
Ath27,1,14,0,0,3,0,0,18
Ath29,1,39,7,0,32,3,1,83
Ath3,0,16,1,0,11,0,0,28
Ath31,0,11,2,0,4,1,0,18
Ath34,0,1,0,0,1,0,0,2
Ath35,0,16,2,0,7,0,0,25
Ath36,1,10,1,0,8,0,1,21
Ath39,0,1,1,0,4,0,0,6
Ath4,0,11,5,0,11,0,0,27
Ath40,0,0,0,0,1,0,0,1
Ath5,0,35,1,0,18,0,0,54
Ath6,1,55,7,0,55,2,4,124
Ath7,0,28,4,0,16,0,1,49
Ath8,1,23,11,0,30,0,2,67
Ath9,0,14,5,0,11,5,1,36
