"","ID","game_day","Altitude_Desc","Soreness_1","Distance","Distancemin","HighSpeedRunning","HSRmin","PlayerLoad","Playerloadmin"
"1",10,"GD","Sea Level",6,10545,111,502,5.284210526,960.4297485,10.10978683
"2",27,"GD","Sea Level",6,9600,101.0526316,562,5.915789474,879.5108032,9.258008455
"3",64,"GD","Sea Level",8,6613,101.7384615,387,5.953846154,725.7258911,11.16501371
"4",91,"GD","Sea Level",3,9282,103.1333333,1060,11.77777778,983.2514038,10.9250156
"5",95,"GD","Sea Level",6,10939,115.1473684,401,4.221052632,1007.693604,10.60730109
"6",109,"GD","Sea Level",7,9838,103.5578947,650,6.842105263,869.0049438,9.147420461
"7",137,"GD","Sea Level",6,10163,106.9789474,813,8.557894737,915.2599487,9.634315249
"8",166,"GD","Sea Level",7,8257,116.2957746,591,8.323943662,743.8452759,10.47669403
"9",2,"GD","Moderate",3,9888,98.88,942.65001,9.4265001,868.20638,8.6820638
"10",8,"GD","Moderate",4,8844,88.44,305.24,3.0524,909.8169,9.098169
"11",10,"GD","Moderate",2,7847,100.6025641,474,6.076923077,707,9.064102564
"12",11,"GD","Moderate",5,6325,94.40298507,209.42,3.125671642,649.21114,9.689718507
"13",109,"GD","Moderate",4,9020,90.2,614,6.14,1002,10.02
"14",345,"GD","Moderate",3,7403,112.1666667,321.89,4.877121212,803.64513,12.17644136
"15",642,"GD","Moderate",2,10645,106.45,896.53,8.9653,969.37917,9.6937917
"16",666,"GD","Moderate",2,9619,96.19,310.31,3.1031,1026.03375,10.2603375
"17",8,"GD","Sea Level",7,8800,89.79591837,445,4.540816327,759.7373047,7.752421477
"18",8,"GD","Sea Level",6,9887,100.8877551,787,8.030612245,987,10.07142857
"19",10,"GD","Sea Level",6,10269,104.7857143,476,4.857142857,962.4030151,9.82043893
"20",10,"GD","Sea Level",5,10340,105.5102041,564,5.755102041,1175,11.98979592
"21",27,"GD","Sea Level",6,10000,102.0408163,339,3.459183673,929.6151123,9.485868493
"22",30,"GD","Sea Level",6,8878,113.8205128,634,8.128205128,851.9910889,10.92296268
"23",95,"GD","Sea Level",7,9948,101.5102041,201,2.051020408,926.6028442,9.455131063
"24",109,"GD","Sea Level",7,9495,96.8877551,400,4.081632653,798.5256348,8.148220763
"25",109,"GD","Sea Level",6,9434,96.26530612,438,4.469387755,851,8.683673469
"26",178,"GD","Sea Level",NA,7981,98.5308642,463,5.716049383,792,9.777777778
"27",188,"GD","Sea Level",8,9556,97.51020408,413,4.214285714,963.0942993,9.82749285
"28",642,"GD","Sea Level",6,10681,108.9897959,800,8.163265306,1028,10.48979592
"29",666,"GD","Sea Level",NA,9382,95.73469388,272,2.775510204,994,10.14285714
"30",2,"GD","Low",7,4500,75,491,8.183333333,457.7853394,7.629755657
"31",9,"GD","Low",7,7103,85.57831325,421,5.072289157,831.6600342,10.02000041
"32",10,"GD","Low",6,9987,92.47222222,605,5.601851852,938.9990234,8.694435402
"33",10,"GD","Low",NA,9944,110.4888889,516,5.733333333,969,10.76666667
"34",27,"GD","Low",7,9782,90.57407407,337,3.12037037,930.1463623,8.612466318
"35",27,"GD","Low",5,9772,108.5777778,381,4.233333333,978.9798584,10.87755398
"36",64,"GD","Low",4,8564,95.15555556,406,4.511111111,822.1599121,9.135110134
"37",84,"GD","Low",7,10146,93.94444444,675,6.25,1013.770935,9.386767917
"38",89,"GD","Low",6,7686,120.09375,440,6.875,763.1612549,11.92439461
"39",95,"GD","Low",6,10099,112.2111111,235,2.611111111,900.6741333,10.00749037
"40",109,"GD","Low",5,9732,108.1333333,403,4.477777778,950.3840942,10.55982327
"41",137,"GD","Low",7,9282,103.1333333,578,6.422222222,816.6842041,9.074268934
"42",166,"GD","Low",8,7668,102.24,344,4.586666667,720.8934937,9.611913249
