Altitude_Desc,Var,Val
Sea Level,Distance,10545
Sea Level,Distancemin,111
Sea Level,HighSpeedRunning,502
Sea Level,HSRmin,5.284210526
Sea Level,PlayerLoad,960.4297485
Sea Level,Playerloadmin,10.10978683
Sea Level,Distance,9600
Sea Level,Distancemin,101.0526316
Sea Level,HighSpeedRunning,562
Sea Level,HSRmin,5.915789474
Sea Level,PlayerLoad,879.5108032
Sea Level,Playerloadmin,9.258008455
Sea Level,Distance,6613
Sea Level,Distancemin,101.7384615
Sea Level,HighSpeedRunning,387
Sea Level,HSRmin,5.953846154
Sea Level,PlayerLoad,725.7258911
Sea Level,Playerloadmin,11.16501371
Sea Level,Distance,9282
Sea Level,Distancemin,103.1333333
Sea Level,HighSpeedRunning,1060
Sea Level,HSRmin,11.77777778
Sea Level,PlayerLoad,983.2514038
Sea Level,Playerloadmin,10.9250156
Sea Level,Distance,10939
Sea Level,Distancemin,115.1473684
Sea Level,HighSpeedRunning,401
Sea Level,HSRmin,4.221052632
Sea Level,PlayerLoad,1007.693604
Sea Level,Playerloadmin,10.60730109
Sea Level,Distance,9838
Sea Level,Distancemin,103.5578947
Sea Level,HighSpeedRunning,650
Sea Level,HSRmin,6.842105263
Sea Level,PlayerLoad,869.0049438
Sea Level,Playerloadmin,9.147420461
Sea Level,Distance,10163
Sea Level,Distancemin,106.9789474
Sea Level,HighSpeedRunning,813
Sea Level,HSRmin,8.557894737
Sea Level,PlayerLoad,915.2599487
Sea Level,Playerloadmin,9.634315249
Sea Level,Distance,8257
Sea Level,Distancemin,116.2957746
Sea Level,HighSpeedRunning,591
Sea Level,HSRmin,8.323943662
Sea Level,PlayerLoad,743.8452759
Sea Level,Playerloadmin,10.47669403
Moderate,Distance,9888
Moderate,Distancemin,98.88
Moderate,HighSpeedRunning,942.65001
Moderate,HSRmin,9.4265001
Moderate,PlayerLoad,868.20638
Moderate,Playerloadmin,8.6820638
Moderate,Distance,8844
Moderate,Distancemin,88.44
Moderate,HighSpeedRunning,305.24
Moderate,HSRmin,3.0524
Moderate,PlayerLoad,909.8169
Moderate,Playerloadmin,9.098169
Moderate,Distance,7847
Moderate,Distancemin,100.6025641
Moderate,HighSpeedRunning,474
Moderate,HSRmin,6.076923077
Moderate,PlayerLoad,707
Moderate,Playerloadmin,9.064102564
Moderate,Distance,6325
Moderate,Distancemin,94.40298507
Moderate,HighSpeedRunning,209.42
Moderate,HSRmin,3.125671642
Moderate,PlayerLoad,649.21114
Moderate,Playerloadmin,9.689718507
Moderate,Distance,9020
Moderate,Distancemin,90.2
Moderate,HighSpeedRunning,614
Moderate,HSRmin,6.14
Moderate,PlayerLoad,1002
Moderate,Playerloadmin,10.02
Moderate,Distance,7403
Moderate,Distancemin,112.1666667
Moderate,HighSpeedRunning,321.89
Moderate,HSRmin,4.877121212
Moderate,PlayerLoad,803.64513
Moderate,Playerloadmin,12.17644136
Moderate,Distance,10645
Moderate,Distancemin,106.45
Moderate,HighSpeedRunning,896.53
Moderate,HSRmin,8.9653
Moderate,PlayerLoad,969.37917
Moderate,Playerloadmin,9.6937917
Moderate,Distance,9619
Moderate,Distancemin,96.19
Moderate,HighSpeedRunning,310.31
Moderate,HSRmin,3.1031
Moderate,PlayerLoad,1026.03375
Moderate,Playerloadmin,10.2603375
Sea Level,Distance,8800
Sea Level,Distancemin,89.79591837
Sea Level,HighSpeedRunning,445
Sea Level,HSRmin,4.540816327
Sea Level,PlayerLoad,759.7373047
Sea Level,Playerloadmin,7.752421477
Sea Level,Distance,9887
Sea Level,Distancemin,100.8877551
Sea Level,HighSpeedRunning,787
Sea Level,HSRmin,8.030612245
Sea Level,PlayerLoad,987
Sea Level,Playerloadmin,10.07142857
Sea Level,Distance,10269
Sea Level,Distancemin,104.7857143
Sea Level,HighSpeedRunning,476
Sea Level,HSRmin,4.857142857
Sea Level,PlayerLoad,962.4030151
Sea Level,Playerloadmin,9.82043893
Sea Level,Distance,10340
Sea Level,Distancemin,105.5102041
Sea Level,HighSpeedRunning,564
Sea Level,HSRmin,5.755102041
Sea Level,PlayerLoad,1175
Sea Level,Playerloadmin,11.98979592
Sea Level,Distance,10000
Sea Level,Distancemin,102.0408163
Sea Level,HighSpeedRunning,339
Sea Level,HSRmin,3.459183673
Sea Level,PlayerLoad,929.6151123
Sea Level,Playerloadmin,9.485868493
Sea Level,Distance,8878
Sea Level,Distancemin,113.8205128
Sea Level,HighSpeedRunning,634
Sea Level,HSRmin,8.128205128
Sea Level,PlayerLoad,851.9910889
Sea Level,Playerloadmin,10.92296268
Sea Level,Distance,9948
Sea Level,Distancemin,101.5102041
Sea Level,HighSpeedRunning,201
Sea Level,HSRmin,2.051020408
Sea Level,PlayerLoad,926.6028442
Sea Level,Playerloadmin,9.455131063
Sea Level,Distance,9495
Sea Level,Distancemin,96.8877551
Sea Level,HighSpeedRunning,400
Sea Level,HSRmin,4.081632653
Sea Level,PlayerLoad,798.5256348
Sea Level,Playerloadmin,8.148220763
Sea Level,Distance,9434
Sea Level,Distancemin,96.26530612
Sea Level,HighSpeedRunning,438
Sea Level,HSRmin,4.469387755
Sea Level,PlayerLoad,851
Sea Level,Playerloadmin,8.683673469
Sea Level,Distance,7981
Sea Level,Distancemin,98.5308642
Sea Level,HighSpeedRunning,463
Sea Level,HSRmin,5.716049383
Sea Level,PlayerLoad,792
Sea Level,Playerloadmin,9.777777778
Sea Level,Distance,9556
Sea Level,Distancemin,97.51020408
Sea Level,HighSpeedRunning,413
Sea Level,HSRmin,4.214285714
Sea Level,PlayerLoad,963.0942993
Sea Level,Playerloadmin,9.82749285
Sea Level,Distance,10681
Sea Level,Distancemin,108.9897959
Sea Level,HighSpeedRunning,800
Sea Level,HSRmin,8.163265306
Sea Level,PlayerLoad,1028
Sea Level,Playerloadmin,10.48979592
Sea Level,Distance,9382
Sea Level,Distancemin,95.73469388
Sea Level,HighSpeedRunning,272
Sea Level,HSRmin,2.775510204
Sea Level,PlayerLoad,994
Sea Level,Playerloadmin,10.14285714
Low,Distance,4500
Low,Distancemin,75
Low,HighSpeedRunning,491
Low,HSRmin,8.183333333
Low,PlayerLoad,457.7853394
Low,Playerloadmin,7.629755657
Low,Distance,7103
Low,Distancemin,85.57831325
Low,HighSpeedRunning,421
Low,HSRmin,5.072289157
Low,PlayerLoad,831.6600342
Low,Playerloadmin,10.02000041
Low,Distance,9987
Low,Distancemin,92.47222222
Low,HighSpeedRunning,605
Low,HSRmin,5.601851852
Low,PlayerLoad,938.9990234
Low,Playerloadmin,8.694435402
Low,Distance,9944
Low,Distancemin,110.4888889
Low,HighSpeedRunning,516
Low,HSRmin,5.733333333
Low,PlayerLoad,969
Low,Playerloadmin,10.76666667
Low,Distance,9782
Low,Distancemin,90.57407407
Low,HighSpeedRunning,337
Low,HSRmin,3.12037037
Low,PlayerLoad,930.1463623
Low,Playerloadmin,8.612466318
Low,Distance,9772
Low,Distancemin,108.5777778
Low,HighSpeedRunning,381
Low,HSRmin,4.233333333
Low,PlayerLoad,978.9798584
Low,Playerloadmin,10.87755398
Low,Distance,8564
Low,Distancemin,95.15555556
Low,HighSpeedRunning,406
Low,HSRmin,4.511111111
Low,PlayerLoad,822.1599121
Low,Playerloadmin,9.135110134
Low,Distance,10146
Low,Distancemin,93.94444444
Low,HighSpeedRunning,675
Low,HSRmin,6.25
Low,PlayerLoad,1013.770935
Low,Playerloadmin,9.386767917
Low,Distance,7686
Low,Distancemin,120.09375
Low,HighSpeedRunning,440
Low,HSRmin,6.875
Low,PlayerLoad,763.1612549
Low,Playerloadmin,11.92439461
Low,Distance,10099
Low,Distancemin,112.2111111
Low,HighSpeedRunning,235
Low,HSRmin,2.611111111
Low,PlayerLoad,900.6741333
Low,Playerloadmin,10.00749037
Low,Distance,9732
Low,Distancemin,108.1333333
Low,HighSpeedRunning,403
Low,HSRmin,4.477777778
Low,PlayerLoad,950.3840942
Low,Playerloadmin,10.55982327
Low,Distance,9282
Low,Distancemin,103.1333333
Low,HighSpeedRunning,578
Low,HSRmin,6.422222222
Low,PlayerLoad,816.6842041
Low,Playerloadmin,9.074268934
Low,Distance,7668
Low,Distancemin,102.24
Low,HighSpeedRunning,344
Low,HSRmin,4.586666667
Low,PlayerLoad,720.8934937
Low,Playerloadmin,9.611913249
