id,opposition,Event,Value
Ath1,Durham Uni,try,1
Ath1,Durham Uni,try assist,1
Ath1,Durham Uni,tackle,3
Ath1,Durham Uni,dominant tackle,0
Ath1,Durham Uni,missed tackle,0
Ath1,Durham Uni,carry,5
Ath1,Durham Uni,gls,1
Ath1,Durham Uni,linebreak,0
Ath1,Durham Uni,defender beaten,1
Ath1,Harrogate,try,0
Ath1,Harrogate,try assist,0
Ath1,Harrogate,tackle,6
Ath1,Harrogate,dominant tackle,0
Ath1,Harrogate,missed tackle,1
Ath1,Harrogate,carry,3
Ath1,Harrogate,gls,2
Ath1,Harrogate,linebreak,0
Ath1,Harrogate,defender beaten,1
Ath10,Durham Uni,try,0
Ath10,Durham Uni,try assist,0
Ath10,Durham Uni,tackle,4
Ath10,Durham Uni,dominant tackle,0
Ath10,Durham Uni,missed tackle,1
Ath10,Durham Uni,carry,0
Ath10,Durham Uni,gls,0
Ath10,Durham Uni,linebreak,0
Ath10,Durham Uni,defender beaten,0
Ath10,Harrogate,try,0
Ath10,Harrogate,try assist,1
Ath10,Harrogate,tackle,3
Ath10,Harrogate,dominant tackle,0
Ath10,Harrogate,missed tackle,0
Ath10,Harrogate,carry,0
Ath10,Harrogate,gls,0
Ath10,Harrogate,linebreak,0
Ath10,Harrogate,defender beaten,0
Ath11,Durham Uni,try,0
Ath11,Durham Uni,try assist,1
Ath11,Durham Uni,tackle,3
Ath11,Durham Uni,dominant tackle,0
Ath11,Durham Uni,missed tackle,0
Ath11,Durham Uni,carry,8
Ath11,Durham Uni,gls,6
Ath11,Durham Uni,linebreak,0
Ath11,Durham Uni,defender beaten,0
Ath11,Harrogate,try,0
Ath11,Harrogate,try assist,2
Ath11,Harrogate,tackle,6
Ath11,Harrogate,dominant tackle,0
Ath11,Harrogate,missed tackle,1
Ath11,Harrogate,carry,3
Ath11,Harrogate,gls,0
Ath11,Harrogate,linebreak,2
Ath11,Harrogate,defender beaten,1
Ath12,Durham Uni,try,1
Ath12,Durham Uni,try assist,0
Ath12,Durham Uni,tackle,7
Ath12,Durham Uni,dominant tackle,3
Ath12,Durham Uni,missed tackle,2
Ath12,Durham Uni,carry,4
Ath12,Durham Uni,gls,1
Ath12,Durham Uni,linebreak,1
Ath12,Durham Uni,defender beaten,3
Ath12,Harrogate,try,0
Ath12,Harrogate,try assist,0
Ath12,Harrogate,tackle,16
Ath12,Harrogate,dominant tackle,2
Ath12,Harrogate,missed tackle,4
Ath12,Harrogate,carry,2
Ath12,Harrogate,gls,2
Ath12,Harrogate,linebreak,1
Ath12,Harrogate,defender beaten,5
Ath13,Durham Uni,try,0
Ath13,Durham Uni,try assist,0
Ath13,Durham Uni,tackle,2
Ath13,Durham Uni,dominant tackle,0
Ath13,Durham Uni,missed tackle,1
Ath13,Durham Uni,carry,4
Ath13,Durham Uni,gls,3
Ath13,Durham Uni,linebreak,0
Ath13,Durham Uni,defender beaten,1
Ath13,Harrogate,try,1
Ath13,Harrogate,try assist,1
Ath13,Harrogate,tackle,9
Ath13,Harrogate,dominant tackle,0
Ath13,Harrogate,missed tackle,1
Ath13,Harrogate,carry,2
Ath13,Harrogate,gls,1
Ath13,Harrogate,linebreak,1
Ath13,Harrogate,defender beaten,1
Ath14,Durham Uni,try,0
Ath14,Durham Uni,try assist,0
