"","ID","game_day","Altitude_Desc","Soreness_1","Distance","Distancemin","HighSpeedRunning","HSRmin","PlayerLoad","Playerloadmin"
"1",10,"GD","Sea Level",6,10545,111,502,5.284210526,960.4297485,10.10978683
"2",27,"GD","Sea Level",6,9600,101.0526316,562,5.915789474,879.5108032,9.258008455
"3",64,"GD","Sea Level",8,6613,101.7384615,387,5.953846154,725.7258911,11.16501371
"4",91,"GD","Sea Level",3,9282,103.1333333,1060,11.77777778,983.2514038,10.9250156
"5",95,"GD","Sea Level",6,10939,115.1473684,401,4.221052632,1007.693604,10.60730109
"6",109,"GD","Sea Level",7,9838,103.5578947,650,6.842105263,869.0049438,9.147420461
"7",137,"GD","Sea Level",6,10163,106.9789474,813,8.557894737,915.2599487,9.634315249
"8",166,"GD","Sea Level",7,8257,116.2957746,591,8.323943662,743.8452759,10.47669403
"9",2,"GD","Moderate",3,9888,98.88,942.65001,9.4265001,868.20638,8.6820638
"10",8,"GD","Moderate",4,8844,88.44,305.24,3.0524,909.8169,9.098169
"11",10,"GD","Moderate",2,7847,100.6025641,474,6.076923077,707,9.064102564
"12",11,"GD","Moderate",5,6325,94.40298507,209.42,3.125671642,649.21114,9.689718507
"13",109,"GD","Moderate",4,9020,90.2,614,6.14,1002,10.02
"14",345,"GD","Moderate",3,7403,112.1666667,321.89,4.877121212,803.64513,12.17644136
"15",642,"GD","Moderate",2,10645,106.45,896.53,8.9653,969.37917,9.6937917
"16",666,"GD","Moderate",2,9619,96.19,310.31,3.1031,1026.03375,10.2603375
"17",16,"GD -1","Sea Level",8,3688,80.17391304,73,1.586956522,419.0388794,9.109540857
"18",70,"GD -1","Sea Level",8,2998,65.17391304,109,2.369565217,342.7702942,7.451528135
"19",89,"GD -1","Sea Level",9,3047,66.23913043,142,3.086956522,322.6442566,7.014005578
"20",95,"GD -1","Sea Level",8,3706,80.56521739,45,0.97826087,286.1120605,6.219827402
"21",100,"GD -1","Sea Level",9,2553,55.5,78,1.695652174,275.9584961,5.999097741
"22",130,"GD -1","Sea Level",6,2428,51.65957447,12,0.255319149,323.3374329,6.879519849
"23",159,"GD -1","Sea Level",7,3938,85.60869565,199,4.326086957,404.0866699,8.784492824
"24",166,"GD -1","Sea Level",10,2909,63.23913043,209,4.543478261,303.3663025,6.59491962
"25",178,"GD -1","Sea Level",9,2551,54.27659574,0,0,307.2084045,6.536349032
"26",188,"GD -1","Sea Level",7,2783,60.5,258,5.608695652,292.2948608,6.354236104
"27",2,"GD -1","Low",4,2229,67.54545455,161,4.878787879,273.8,8.296969697
"28",4,"GD -1","Low",10,2431,73.66666667,24,0.727272727,261.18,7.914545455
"29",10,"GD -1","Low",10,2514,76.18181818,105,3.181818182,269.31,8.160909091
"30",27,"GD -1","Low",7,2778,84.18181818,47,1.424242424,345.09,10.45727273
"31",30,"GD -1","Low",5,2777,84.15151515,74,2.242424242,340.11,10.30636364
"32",91,"GD -1","Low",10,1876,56.84848485,80,2.424242424,258.9,7.845454545
"33",95,"GD -1","Low",7,2070,62.72727273,23,0.696969697,218.79,6.63
"34",100,"GD -1","Low",5,4400,88,544,10.88,436.1010974,8.722021948
"35",109,"GD -1","Low",5,2225,67.42424242,52,1.575757576,234.94,7.119393939
"36",136,"GD -1","Low",3,2359,71.48484848,18,0.545454545,239.78,7.266060606
"37",188,"GD -1","Low",8,2396,72.60606061,90,2.727272727,255.34,7.737575758
"38",714,"GD -1","Low",8,2078,62.96969697,21,0.636363636,265.25,8.037878788
"39",2,"GD -1","Moderate",8,2601,70.2972973,203,5.486486486,325,8.783783784
"40",8,"GD -1","Moderate",8,3402,89.52631579,201,5.289473684,316,8.315789474
"41",10,"GD -1","Moderate",8,2762,74.64864865,191,5.162162162,317,8.567567568
"42",11,"GD -1","Moderate",8,3189,70.86666667,172,3.822222222,292,6.488888889
"43",109,"GD -1","Moderate",7,3076,76.9,195,4.875,308,7.7
"44",136,"GD -1","Moderate",10,2680,67,222,5.55,356,8.9
"45",178,"GD -1","Moderate",9,3336,75.81818182,225,5.113636364,313,7.113636364
"46",222,"GD -1","Moderate",8,2597,66.58974359,187,4.794871795,327,8.384615385
"47",345,"GD -1","Moderate",8,2832,67.42857143,170,4.047619048,325,7.738095238
"48",642,"GD -1","Moderate",9,3449,98.54285714,202,5.771428571,278,7.942857143
"49",666,"GD -1","Moderate",8,3412,92.21621622,182,4.918918919,342,9.243243243
"50",897,"GD -1","Moderate",7,2641,61.41860465,218,5.069767442,315,7.325581395
"51",987,"GD -1","Moderate",8,3418,87.64102564,186,4.769230769,348,8.923076923
"52",10,"GD -2","Sea Level",7,4300,69.35483871,87,1.403225806,396.5491638,6.395954255
"53",16,"GD -2","Sea Level",8,4540,73.22580645,121,1.951612903,442.2081604,7.132389684
"54",21,"GD -2","Sea Level",7,2802,45.19354839,37,0.596774194,303.1105347,4.888879592
"55",27,"GD -2","Sea Level",6,4502,72.61290323,153,2.467741935,439.8460999,7.094291934
"56",36,"GD -2","Sea Level",10,4172,67.29032258,119,1.919354839,363.3236084,5.8600582
"57",64,"GD -2","Sea Level",8,3806,61.38709677,138,2.225806452,373.0820923,6.017453102
"58",70,"GD -2","Sea Level",5,3590,57.90322581,129,2.080645161,356.299469,5.746765629
