"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","Y_Start","X_End","Y_End","Additional_Info","Type","Body_Part","Rec_Player","Complete","Height","Corner_Type","Outcome","Foul_Type","Event_Won","Offence","Shot_Outcome","Possession_Type","GK_Type","Interception_Type","Assist_Type","Card_Type","Duel_Type","Duel_Outcome","Dribble_Outcome","Beaten_By","Block_Outcome","Block_Body_Part","Clearance_Type","Player_On","Player_Off","Sub_Type"
"1",6,"Hartlepool","Rotherham","First Half",00:03:11,"Clearance",21.88,80.11,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Head",NA,NA,NA
"2",6,"Hartlepool","Rotherham","First Half",00:03:35,"Clearance",13.42,74.27,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Head",NA,NA,NA
"3",11,"Hartlepool","Rotherham","First Half",00:03:37,"Clearance",25,82.68,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Foot",NA,NA,NA
"4",8,"Hartlepool","Rotherham","First Half",00:03:39,"Pass",21.73,74.27,58.25,80.34,NA,"Through Ball","Right Foot","Ath10","Completed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3,"Hartlepool","Rotherham","First Half",00:03:46,"Clearance",34.2,84.54,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Head",NA,NA,NA
"6",5,"Hartlepool","Rotherham","First Half",00:03:49,"Clearance",24.11,77.07,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Foot",NA,NA,NA
"7",5,"Hartlepool","Rotherham","First Half",00:03:49,"Pass",22.18,74.03,46.38,61.66,NA,"Other","Right Foot","Ath7","Completed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Hartlepool","Rotherham","First Half",00:03:54,"Duel",41.03,62.82,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"9",8,"Hartlepool","Rotherham","First Half",00:03:54,"Pass",37.77,60.72,38.06,56.28,NA,"Standard","Right Foot","Ath4","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4,"Hartlepool","Rotherham","First Half",00:03:57,"Pass",36.28,55.35,5.55,48.81,NA,"Standard","Right Foot","Ath1","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,"Hartlepool","Rotherham","First Half",00:03:57,"Pass",5.55,47.18,56.62,13.54,NA,"Other","Right Foot","Opposition","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2,"Hartlepool","Rotherham","First Half",00:04:07,"Duel",42.22,16.58,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aerial","Won",NA,NA,NA,NA,NA,NA,NA,NA
"13",4,"Hartlepool","Rotherham","First Half",00:04:09,"Pass",39.55,27.79,29.31,27.32,NA,"Standard","Left Foot","Ath6","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",6,"Hartlepool","Rotherham","First Half",00:04:10,"Pass",28.12,25.69,78.15,32.23,NA,"Other","Right Foot","Ath10","Completed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",10,"Hartlepool","Rotherham","First Half",00:04:15,"Pass",77.85,29.89,77.55,45.54,NA,"Other","Right Foot","Ath9","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",9,"Hartlepool","Rotherham","First Half",00:04:17,"Shot",77.85,44.37,80.37,44.84,NA,NA,"Right Foot","AthNA",NA,NA,NA,NA,NA,NA,NA,"Blocked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",11,"Hartlepool","Rotherham","First Half",00:04:35,"Throw in",48.46,101.13,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3,"Hartlepool","Rotherham","First Half",00:04:38,"Pass",24.55,93.89,8.37,79.17,NA,"Standard","Left Foot","Ath1","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,"Hartlepool","Rotherham","First Half",00:04:42,"Pass",8.67,79.41,50.68,100.43,NA,"Other","Right Foot","Opposition","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",11,"Hartlepool","Rotherham","First Half",00:05:10,"Pass",24.55,86.18,37.77,61.89,NA,"Other","Right Foot","Ath10","Completed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",10,"Hartlepool","Rotherham","First Half",00:05:13,"Pass",36.58,51.85,42.07,35.5,NA,"Standard","Right Foot","Ath2","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
