"","ID","Team","Opponent","Type","Half","Minute","Event_Type","X_Pos","Y_Pos","GLS","Source","pitch_location","action"
"1","7","Hull I's","Tynedale","One Out","First Half",00:20:27,"Carry",28.91,50.13,0,"Lineout","Halfway to Opposition 22","1"
"2","6","Hull I's","Tynedale","One Out","First Half",00:20:32,"Carry",25.55,41.47,1,"Multi-Phase","Halfway to Opposition 22","1"
"3","13","Hull I's","Tynedale","Other","First Half",00:20:38,"Carry",26.81,13.23,1,"Multi-Phase","Halfway to Opposition 22","1"
"4","6","Hull I's","Tynedale","Other","First Half",00:20:46,"Carry",24.99,33.32,0,"Multi-Phase","Halfway to Opposition 22","1"
"5","12","Hull I's","Tynedale","Other","First Half",00:20:54,"Carry",25.55,51.05,0,"Multi-Phase","Halfway to Opposition 22","1"
"6","15","Hull I's","Tynedale","Other","First Half",00:21:10,"Carry",32.55,15.99,0,"Multi-Phase","Halfway to Opposition 22","1"
"7","7","Hull I's","Tynedale","Other","First Half",00:21:19,"Carry",31.85,24,0,"Multi-Phase","Halfway to Opposition 22","1"
"8","6","Hull I's","Tynedale","Other","First Half",00:21:26,"Carry",32.27,49.74,0,"Multi-Phase","Halfway to Opposition 22","1"
"9","13","Hull I's","Tynedale","Kick Return","First Half",00:21:42,"Carry",75.22,62.22,0,NA,"Own 22 to Halfway","1"
"10","8","Hull I's","Tynedale","Other","First Half",00:22:51,"Carry",24.85,27.02,1,"Lineout","Halfway to Opposition 22","1"
"11","15","Hull I's","Tynedale","Other","First Half",00:23:01,"Carry",22.9,55.78,0,"Multi-Phase","Halfway to Opposition 22","1"
"12","8","Hull I's","Tynedale","Other","First Half",00:23:11,"Carry",23.6,46.72,0,"Multi-Phase","Halfway to Opposition 22","1"
"13","2","Hull I's","Tynedale","Other","First Half",00:23:17,"Carry",22.9,29.65,0,"Multi-Phase","Halfway to Opposition 22","1"
"14","11","Hull I's","Tynedale","Other","First Half",00:23:24,"Carry",23.74,4.04,0,"Multi-Phase","Halfway to Opposition 22","1"
"15","15","Hull I's","Tynedale","Kick Return","First Half",00:24:16,"Carry",57.59,53.42,0,NA,"Own 22 to Halfway","1"
"16","14","Hull I's","Tynedale","One Out","First Half",00:24:27,"Carry",26.25,56.18,1,"Multi-Phase","Halfway to Opposition 22","1"
"17","5","Hull I's","Tynedale","Other","First Half",00:24:36,"Carry",26.11,22.03,0,"Multi-Phase","Halfway to Opposition 22","1"
"18","11","Hull I's","Tynedale","Other","First Half",00:24:47,"Carry",24.16,4.04,1,"Multi-Phase","Halfway to Opposition 22","1"
"19","4","Hull I's","Tynedale","Kick Return","First Half",00:26:34,"Carry",63.33,54.21,0,NA,"Own 22 to Halfway","1"
"20","9","Hull I's","Tynedale","Other","First Half",00:27:02,"Carry",41.08,52.37,0,NA,"Halfway to Opposition 22","1"
"21","8","Hull I's","Tynedale","Kick Return","First Half",00:28:41,"Carry",63.05,51.45,0,NA,"Own 22 to Halfway","1"
"22","13","Hull I's","Tynedale","Other","First Half",00:33:33,"Carry",26.25,17.17,0,NA,"Halfway to Opposition 22","1"
"23","14","Hull I's","Tynedale","Other","First Half",00:33:50,"Carry",38.56,64.97,0,"Multi-Phase","Halfway to Opposition 22","1"
"24","15","Hull I's","Tynedale","Support Carry","First Half",00:33:54,"Carry",13.38,65.11,0,"Multi-Phase","Opposition 22","1"
"25","8","Hull I's","Tynedale","Kick Return","First Half",00:35:24,"Carry",79.55,52.1,0,NA,"Own 22","1"
"26","13","Hull I's","Tynedale","Other","First Half",00:37:43,"Carry",39.68,30.57,0,"Scrum","Halfway to Opposition 22","1"
"27","8","Hull I's","Tynedale","Kick Return","First Half",00:39:13,"Carry",75.5,46.98,0,NA,"Own 22 to Halfway","1"
"28","7","Hull I's","Tynedale","One Out","First Half",00:39:21,"Carry",78.57,50.13,0,"Multi-Phase","Own 22","1"
"29","14","Hull I's","Tynedale","Other","First Half",00:41:18,"Carry",45.98,28.86,1,"Scrum","Halfway to Opposition 22","1"
