ID,KPI,value,grp
Ath1,Defender Beaten,2,Forwards
Ath1,Dominant Tackle,1,Forwards
Ath1,Linebreak,1,Forwards
Ath1,Missed Tackles,3,Forwards
Ath1,Pen Conceded,4,Forwards
Ath1,Tackles Completed,25,Forwards
Ath1,Total Carries,37,Forwards
Ath1,Tries Scored,1,Forwards
Ath1,Try Assists,2,Forwards
Ath1,Turnovers Won,3,Forwards
Ath10,Defender Beaten,12,Backs
Ath10,Dominant Tackle,1,Backs
Ath10,Linebreak,1,Backs
Ath10,Missed Tackles,5,Backs
Ath10,Pen Conceded,3,Backs
Ath10,Tackles Completed,34,Backs
Ath10,Total Carries,20,Backs
Ath10,Tries Scored,1,Backs
Ath10,Try Assists,2,Backs
Ath10,Turnovers Won,3,Backs
Ath11,Defender Beaten,1,Backs
Ath11,Dominant Tackle,0,Backs
Ath11,Linebreak,1,Backs
Ath11,Missed Tackles,6,Backs
Ath11,Pen Conceded,0,Backs
Ath11,Tackles Completed,10,Backs
Ath11,Total Carries,5,Backs
Ath11,Tries Scored,1,Backs
Ath11,Try Assists,0,Backs
Ath11,Turnovers Won,0,Backs
Ath12,Defender Beaten,15,Backs
Ath12,Dominant Tackle,1,Backs
Ath12,Linebreak,2,Backs
Ath12,Missed Tackles,6,Backs
Ath12,Pen Conceded,5,Backs
Ath12,Tackles Completed,26,Backs
Ath12,Total Carries,25,Backs
Ath12,Tries Scored,1,Backs
Ath12,Try Assists,0,Backs
Ath12,Turnovers Won,2,Backs
Ath13,Defender Beaten,3,Backs
Ath13,Dominant Tackle,0,Backs
Ath13,Linebreak,2,Backs
Ath13,Missed Tackles,7,Backs
Ath13,Pen Conceded,1,Backs
Ath13,Tackles Completed,7,Backs
Ath13,Total Carries,13,Backs
Ath13,Tries Scored,1,Backs
Ath13,Try Assists,0,Backs
Ath13,Turnovers Won,2,Backs
Ath14,Defender Beaten,1,Backs
Ath14,Dominant Tackle,0,Backs
Ath14,Linebreak,0,Backs
Ath14,Missed Tackles,1,Backs
Ath14,Pen Conceded,1,Backs
Ath14,Tackles Completed,2,Backs
Ath14,Total Carries,1,Backs
Ath14,Tries Scored,0,Backs
Ath14,Try Assists,0,Backs
Ath14,Turnovers Won,0,Backs
Ath15,Defender Beaten,17,Backs
Ath15,Dominant Tackle,0,Backs
Ath15,Linebreak,3,Backs
Ath15,Missed Tackles,13,Backs
Ath15,Pen Conceded,4,Backs
Ath15,Tackles Completed,26,Backs
Ath15,Total Carries,29,Backs
Ath15,Tries Scored,0,Backs
Ath15,Try Assists,1,Backs
Ath15,Turnovers Won,2,Backs
Ath16,Defender Beaten,0,Forwards
Ath16,Dominant Tackle,0,Forwards
Ath16,Linebreak,0,Forwards
Ath16,Missed Tackles,0,Forwards
Ath16,Pen Conceded,0,Forwards
Ath16,Tackles Completed,1,Forwards
Ath16,Total Carries,0,Forwards
Ath16,Tries Scored,0,Forwards
Ath16,Try Assists,0,Forwards
Ath16,Turnovers Won,0,Forwards
Ath17,Defender Beaten,0,Forwards
Ath17,Dominant Tackle,0,Forwards
Ath17,Linebreak,0,Forwards
Ath17,Missed Tackles,7,Forwards
Ath17,Pen Conceded,3,Forwards
Ath17,Tackles Completed,20,Forwards
Ath17,Total Carries,15,Forwards
Ath17,Tries Scored,1,Forwards
Ath17,Try Assists,0,Forwards
Ath17,Turnovers Won,0,Forwards
Ath18,Defender Beaten,0,Forwards
Ath18,Dominant Tackle,0,Forwards
Ath18,Linebreak,0,Forwards
Ath18,Missed Tackles,0,Forwards
Ath18,Pen Conceded,1,Forwards
Ath18,Tackles Completed,4,Forwards
Ath18,Total Carries,0,Forwards
Ath18,Tries Scored,0,Forwards
Ath18,Try Assists,0,Forwards
Ath18,Turnovers Won,0,Forwards
Ath19,Defender Beaten,0,Forwards
Ath19,Dominant Tackle,0,Forwards
Ath19,Linebreak,0,Forwards
Ath19,Missed Tackles,5,Forwards
Ath19,Pen Conceded,1,Forwards
Ath19,Tackles Completed,9,Forwards
Ath19,Total Carries,2,Forwards
Ath19,Tries Scored,0,Forwards
Ath19,Try Assists,0,Forwards
Ath19,Turnovers Won,1,Forwards
Ath2,Defender Beaten,0,Forwards
Ath2,Dominant Tackle,3,Forwards
Ath2,Linebreak,0,Forwards
Ath2,Missed Tackles,12,Forwards
Ath2,Pen Conceded,0,Forwards
