id,event,missed,offload allowed,successful,Total Tackles,Tackle %,Positional Group
Ath1,tackle,20,13,112,145,77,Forwards
Ath10,tackle,16,1,18,35,51,Backs
Ath100,tackle,0,0,1,1,100,Backs
Ath11,tackle,7,4,38,49,78,Backs
Ath12,tackle,55,19,121,195,62,Backs
Ath13,tackle,36,19,100,155,65,Backs
Ath14,tackle,29,4,25,58,43,Backs
Ath15,tackle,62,6,99,167,59,Backs
Ath16,tackle,13,7,67,87,77,Forwards
Ath17,tackle,6,1,22,29,76,Forwards
Ath18,tackle,14,2,27,43,63,Forwards
Ath19,tackle,2,0,1,3,33,Forwards
Ath2,tackle,38,8,129,175,74,Forwards
Ath20,tackle,13,2,81,96,84,Forwards
Ath22,tackle,22,7,22,51,43,Backs
Ath23,tackle,8,0,26,34,76,Backs
Ath24,tackle,16,15,35,66,53,Backs
Ath25,tackle,3,3,4,10,40,Backs
Ath27,tackle,5,2,11,18,61,Backs
Ath29,tackle,19,6,94,119,79,Forwards
Ath3,tackle,7,2,36,45,80,Forwards
Ath31,tackle,14,2,42,58,72,Forwards
Ath34,tackle,3,0,1,4,25,Backs
Ath35,tackle,6,2,29,37,78,Forwards
Ath36,tackle,23,4,46,73,63,Forwards
Ath39,tackle,9,1,21,31,68,Forwards
Ath4,tackle,7,3,41,51,80,Forwards
Ath40,tackle,0,0,3,3,100,Forwards
Ath5,tackle,5,5,40,50,80,Forwards
Ath50,tackle,6,0,7,13,54,Backs
Ath52,tackle,0,1,1,2,50,Backs
Ath53,tackle,13,1,13,27,48,Backs
Ath6,tackle,37,15,155,207,75,Forwards
Ath7,tackle,37,8,218,263,83,Forwards
Ath8,tackle,37,4,109,150,73,Forwards
Ath9,tackle,19,6,59,84,70,Backs
