opposition,total_tackles,total_missed,tackle_attempts,Tackle_percent
Chester,134,16,150,89
Durham Uni,60,8,68,88
Fylde,184,40,224,82
Harrogate,165,21,186,89
Hull,148,39,187,79
Hull (H),171,29,200,86
Hull I's,147,19,166,89
Hull I's (A),106,21,127,83
Leeds,243,53,296,82
Leeds (A),204,55,259,79
Lymm,158,46,204,77
Otley,188,26,214,88
Preston,133,29,162,82
Sheffield,181,51,232,78
Sheffield Tigers,115,27,142,81
Tynedale,204,40,244,84
Tynedale (H),173,41,214,81
Wharfedale,123,22,145,85
Wharfedale (H),130,24,154,84
