id,dominant,gl allowed,missed,offload allowed,successful
Ath1,16,4,22,17,137
Ath10,0,7,16,1,18
Ath100,0,0,0,0,1
Ath101,0,0,1,0,0
Ath11,0,2,10,4,39
Ath12,11,7,64,20,136
Ath13,5,16,44,22,134
Ath14,0,6,31,4,29
Ath15,1,7,73,10,125
Ath16,0,4,13,7,74
Ath17,2,2,6,1,24
Ath18,2,3,16,2,30
Ath19,0,0,2,0,1
Ath2,6,10,45,9,155
Ath20,4,2,18,5,111
Ath22,0,0,39,12,29
Ath23,0,0,13,0,29
Ath24,0,0,22,16,42
Ath25,0,0,3,3,4
Ath27,2,1,5,2,11
Ath29,7,16,24,7,114
Ath3,0,6,8,3,44
Ath31,10,0,17,5,60
Ath34,0,0,3,0,1
Ath35,6,0,6,2,30
Ath36,3,1,23,4,46
Ath39,0,2,13,1,29
Ath4,3,2,8,6,57
Ath40,0,0,0,0,3
Ath5,1,5,5,5,40
Ath50,1,0,12,0,20
Ath52,0,0,0,1,1
Ath53,1,0,18,1,16
Ath59,0,0,1,1,0
Ath6,10,4,44,18,187
Ath7,8,6,43,9,253
Ath8,3,6,37,6,120
Ath9,0,5,22,10,65
Ath91,0,0,0,0,2
