ID,grp,Var,Val
Ath1,Forwards,GLS,55
Ath1,Forwards,Tackle,83
Ath10,Backs,GLS,42
Ath10,Backs,Tackle,88
Ath11,Backs,GLS,67
Ath11,Backs,Tackle,66
Ath12,Backs,GLS,50
Ath12,Backs,Tackle,78
Ath13,Backs,GLS,57
Ath13,Backs,Tackle,43
Ath14,Backs,GLS,100
Ath14,Backs,Tackle,67
Ath15,Backs,GLS,13
Ath15,Backs,Tackle,61
Ath16,Forwards,GLS,0
Ath16,Forwards,Tackle,100
Ath17,Forwards,GLS,33
Ath17,Forwards,Tackle,68
Ath18,Forwards,GLS,0
Ath18,Forwards,Tackle,100
Ath19,Forwards,GLS,0
Ath19,Forwards,Tackle,0
Ath2,Forwards,GLS,67
Ath2,Forwards,Tackle,57
Ath20,Backs,GLS,0
Ath20,Backs,Tackle,28
Ath21,Backs,GLS,0
Ath21,Backs,Tackle,67
Ath22,Forwards,GLS,25
Ath22,Forwards,Tackle,42
Ath23,Forwards,GLS,50
Ath23,Forwards,Tackle,42
Ath24,Backs,GLS,100
Ath24,Backs,Tackle,89
Ath25,Backs,GLS,12
Ath25,Backs,Tackle,50
Ath26,Backs,GLS,62
Ath26,Backs,Tackle,84
Ath27,Forwards,GLS,50
Ath27,Forwards,Tackle,90
Ath3,Forwards,GLS,78
Ath3,Forwards,Tackle,60
Ath4,Forwards,GLS,8
Ath4,Forwards,Tackle,68
Ath5,Forwards,GLS,17
Ath5,Forwards,Tackle,75
Ath6,Forwards,GLS,44
Ath6,Forwards,Tackle,81
Ath7,Forwards,GLS,56
Ath7,Forwards,Tackle,85
Ath8,Forwards,GLS,50
Ath8,Forwards,Tackle,80
Ath9,Backs,GLS,84
Ath9,Backs,Tackle,93
