"","Kick_Index","Opposition","ID","Kick_Minute","Kick_Type","Kick_Start_X","Kick_Start_Y","Kick_End_X","Kick_End_Y","Kick_Direction","Next_Possession_Index","Next_Possession_Minute","Possession_Start_X","Possession_Start_Y","Possession_Direction","X_Distance","Territory","start_pitch_location","start_zone","end_pitch_location","end_zone","Distance"
"1",10,"Durham University","13",00:04:08,"Open Play",18.63,54.88,81.53,54.76,"Left to Right",15,00:04:32,52.23,55.33,"Left to Right",33.6,33.6,"Own 22","A3","Opposition 22","D3",62.9
"2",98,"Durham University","12",00:13:11,"Open Play",16.73,44.99,53.27,18.6,"Left to Right",100,00:13:20,36.89,56.78,"Left to Right",20.16,20.16,"Own 22","A3","Halfway to Opposition 22","C2",45.07
"3",165,"Durham University","15",00:27:17,"Chip",63.95,64.53,78.08,68.91,"Left to Right",170,00:28:14,49.3,63.3,"Left to Right",14.65,-14.65,"Halfway to Opposition 22","C4","Opposition 22","D4",14.79
"4",188,"Durham University","9",00:29:34,"Box",4.85,14.9,21.21,-0.26,"Left to Right",190,00:30:57,21.89,15.12,"Left to Right",17.04,17.04,"Own 22","A1","Own 22","A1",22.3
"5",192,"Durham University","10",00:31:03,"Chip",17.8,25.23,33.98,30.17,"Left to Right",204,00:32:58,7.58,6.59,"Left to Right",10.22,-10.22,"Own 22","A2","Own 22 to Halfway","B2",16.92
"6",244,"Durham University","15",00:38:54,"Grubber",45.22,18.49,81.16,1.31,"Left to Right",246,00:38:56,88.31,1.08,"Left to Right",43.09,43.09,"Own 22 to Halfway","B2","Opposition 22","D1",39.84
"7",347,"Durham University","9",00:55:18,"Open Play",67.88,36.62,79.16,15.82,"Right to Left",350,00:57:35,65.37,22.23,"Right to Left",2.50999999999999,-2.50999999999999,"Halfway to Opposition 22","C3","Opposition 22","D2",23.66
"8",360,"Durham University","10",00:57:58,"Open Play",18.48,35.72,47.82,65.4,"Right to Left",369,00:59:13,24.13,45.16,"Right to Left",5.64999999999999,5.64999999999999,"Own 22","A3","Own 22 to Halfway","B4",41.73
"9",480,"Durham University","11",01:11:43,"Open Play",4.44,53.48,30.65,52.24,"Right to Left",485,01:12:57,22.12,34.59,"Right to Left",17.68,17.68,"Own 22","A3","Own 22 to Halfway","B3",26.24
"10",524,"Durham University","9",01:17:24,"Box",9.95999999999999,14.69,44.94,-0.0300000000000011,"Right to Left",526,01:18:08,44.69,5.81,"Right to Left",34.73,34.73,"Own 22","A1","Own 22 to Halfway","B1",37.95
"11",650,"Durham University","11",01:30:25,"Open Play",50.54,60.23,76.6,57.3,"Right to Left",655,01:31:24,95.21,43.48,"Right to Left",44.67,44.67,"Halfway to Opposition 22","C4","Halfway to Opposition 22","C4",26.22
